genetic_id	chromosome	alpha_leave_out	delta_from_full
RISE503.SG	12	0.039569990265255664	-0.0009194448768715321
RISE503.SG	13	0.03877881285273181	-0.0017106222893953846
RISE503.SG	14	0.03851142241515853	-0.001978012726968667
RISE503.SG	15	0.0404450778532659	-4.4357288861297806e-05
RISE503.SG	16	0.04095432080699301	0.0004648856648658134
RISE503.SG	17	0.04031068083563032	-0.00017875430649687274
RISE503.SG	18	0.04128818118887488	0.0007987460467476851
RISE503.SG	19	0.042069722375421566	0.0015802872332943696
RISE503.SG	20	0.03819342054866037	-0.0022960145934668233
RISE503.SG	21	0.04194769063954829	0.001458255497421096
RISE503.SG	22	0.03993473438656158	-0.0005547007555656153
I5259.AG	1	0.027821407911651566	0.0005443324586504074
I5259.AG	2	0.029704598921065733	0.002427523468064574
I5259.AG	3	0.02834127444162755	0.0010641989886263914
I5259.AG	4	0.02516278617679769	-0.002114289276203468
I5259.AG	5	0.026498019979059886	-0.0007790554739412724
I5259.AG	6	0.026712943469778334	-0.000564131983222825
I5259.AG	7	0.02898976781950798	0.0017126923665068197
I5259.AG	8	0.02814327481923654	0.0008661993662353804
I5259.AG	9	0.02487857756734109	-0.002398497885660069
I5259.AG	10	0.02707354722719109	-0.00020352822581007
I5259.AG	11	0.027793888840974383	0.0005168133879732244
I5259.AG	12	0.027723220902583248	0.0004461454495820888
I5259.AG	13	0.026971908905270153	-0.00030516654773100546
I5259.AG	14	0.0259400059327105	-0.0013370695202906575
I5259.AG	15	0.026430649537299674	-0.0008464259157014847
I5259.AG	16	0.027728876288090593	0.00045180083508943383
I5259.AG	17	0.02725265316805587	-2.4422284945289224e-05
I5259.AG	18	0.028529548384069955	0.001252472931068796
I5259.AG	19	0.026377413167357616	-0.0008996622856435425
I5259.AG	20	0.027537260226118826	0.0002601847731176672
I5259.AG	21	0.028255876235400927	0.0009788007823997684
I5259.AG	22	0.026352268048330497	-0.0009248074046706613
WEZ39.SG	1	0.08033296080109441	-0.0003804813605681884
WEZ39.SG	2	0.08232410399437874	0.0016106618327161454
WEZ39.SG	3	0.0795659817578767	-0.0011474604037858965
WEZ39.SG	4	0.07972556643459115	-0.0009878757270714439
WEZ39.SG	5	0.07848099878502958	-0.002232443376633017
WEZ39.SG	6	0.08257878749514395	0.001865345333481358
WEZ39.SG	7	0.0747386916963849	-0.005974750465277692
WEZ39.SG	8	0.0853540358567931	0.004640593695130507
WEZ39.SG	9	0.07640991743757487	-0.004303524724087723
WEZ39.SG	10	0.08543141701696237	0.004717974855299775
WEZ39.SG	11	0.07834606988569717	-0.0023673722759654237
