genetic_id	block	alpha_leave_out	delta_from_full
Tianyuan.AG.BY.AA	31	0.02300345901781636	-0.0007779926401270121
Tianyuan.AG.BY.AA	32	0.02339394207963828	-0.00038750957830509247
Tianyuan.AG.BY.AA	33	0.023124527388815725	-0.000656924269127647
Tianyuan.AG.BY.AA	34	0.025959709398639657	0.002178257740696285
Tianyuan.AG.BY.AA	35	0.023412249066217087	-0.00036920259172628506
Tianyuan.AG.BY.AA	36	0.023175288583354076	-0.0006061630745892964
Tianyuan.AG.BY.AA	37	0.025220021491593372	0.0014385698336500004
Tianyuan.AG.BY.AA	38	0.023335880467621823	-0.00044557119032154896
Tianyuan.AG.BY.AA	39	0.022631439043778397	-0.0011500126141649747
Tianyuan.AG.BY.AA	40	0.0239158704527993	0.00013441879485592834
Tianyuan.AG.BY.AA	41	0.0225819414993636	-0.0011995101585797717
Tianyuan.AG.BY.AA	42	0.02400984081508343	0.0002283891571400569
Tianyuan.AG.BY.AA	43	0.023779812197390362	-1.6394605530101192e-06
Tianyuan.AG.BY.AA	44	0.023837694658372877	5.6243000429504614e-05
Tianyuan.AG.BY.AA	45	0.025424957779317366	0.0016435061213739936
Tianyuan.AG.BY.AA	46	0.023670966920655578	-0.00011048473728779429
Tianyuan.AG.BY.AA	47	0.024666393909775045	0.0008849422518316732
Tianyuan.AG.BY.AA	48	0.023918428417039773	0.00013697675909640078
Tianyuan.AG.BY.AA	49	0.02407055961623794	0.00028910795829456895
Ust_Ishim.DG	0	0.023118175847052762	-0.0002713610404292688
Ust_Ishim.DG	1	0.022617106900388137	-0.0007724299870938943
Ust_Ishim.DG	2	0.022618669870203625	-0.0007708670172784059
Ust_Ishim.DG	3	0.02131062425026798	-0.002078912637214051
Ust_Ishim.DG	4	0.02416226842160254	0.0007727315341205104
Ust_Ishim.DG	5	0.023741701726134837	0.0003521648386528055
Ust_Ishim.DG	6	0.021874464998704855	-0.0015150718887771766
Ust_Ishim.DG	7	0.02471123515857484	0.0013216982710928075
Ust_Ishim.DG	8	0.022796619934219917	-0.000592916953262114
Ust_Ishim.DG	9	0.02351107314852368	0.00012153626104164858
Ust_Ishim.DG	10	0.02394535860725227	0.000555821719770238
Ust_Ishim.DG	11	0.02323220558749261	-0.00015733129998942233
Ust_Ishim.DG	12	0.02352550191992033	0.00013596503243830035
Ust_Ishim.DG	13	0.023699773862566803	0.0003102369750847718
Ust_Ishim.DG	14	0.023361484387233733	-2.805250024829828e-05
Ust_Ishim.DG	15	0.02493892940829826	0.001549392520816227
Ust_Ishim.DG	16	0.023781470847544707	0.00039193396006267575
Ust_Ishim.DG	17	0.02432822557981919	0.0009386886923371598
Ust_Ishim.DG	18	0.024100001523612087	0.0007104646361300558
Ust_Ishim.DG	19	0.02341322496039472	2.368807291268718e-05
Ust_Ishim.DG	20	0.023280978459954218	-0.00010855842752781342
Ust_Ishim.DG	21	0.02384544690829499	0.00045591002081295934
Ust_Ishim.DG	22	0.024845644093329598	0.0014561072058475663
Ust_Ishim.DG	23	0.024023988871431274	0.0006344519839492427
Ust_Ishim.DG	24	0.023236852453738535	-0.00015268443374349613
Ust_Ishim.DG	25	0.02405159607672538	0.0006620591892433497
Ust_Ishim.DG	26	0.02311331659027918	-0.00027622029720284977
Ust_Ishim.DG	27	0.022502711087187172	-0.000886825800294859
Ust_Ishim.DG	28	0.022693857396040365	-0.0006956794914416663
Ust_Ishim.DG	29	0.02348161752546191	9.208063797987859e-05
Ust_Ishim.DG	30	0.02335696316170516	-3.257372577687018e-05
Ust_Ishim.DG	31	0.023215486001594433	-0.0001740508858875979
Ust_Ishim.DG	32	0.022473120281852877	-0.0009164166056291542
Ust_Ishim.DG	33	0.023900831216546178	0.0005112943290641464
Ust_Ishim.DG	34	0.023637172817483617	0.0002476359300015857
Ust_Ishim.DG	35	0.021633944157468988	-0.0017555927300130433
Ust_Ishim.DG	36	0.024262035028376056	0.0008724981408940249
Ust_Ishim.DG	37	0.023189423302659766	-0.0002001135848222653
Ust_Ishim.DG	38	0.023819263666646842	0.00042972677916481086
Ust_Ishim.DG	39	0.023589922482699838	0.00020038559521780644
Ust_Ishim.DG	40	0.023212154049152025	-0.00017738283833000634
Ust_Ishim.DG	41	0.022820875907816965	-0.0005686609796650664
Ust_Ishim.DG	42	0.024368760252229504	0.000979223364747473
Ust_Ishim.DG	43	0.021906262789682503	-0.0014832740977995286
Ust_Ishim.DG	44	0.023714567390577087	0.00032503050309505566
Ust_Ishim.DG	45	0.023998354162130996	0.0006088172746489644
Ust_Ishim.DG	46	0.023178841465004336	-0.00021069542247769552
Ust_Ishim.DG	47	0.023992249943758308	0.0006027130562762766
Ust_Ishim.DG	48	0.022393037980568013	-0.000996498906914018
Ust_Ishim.DG	49	0.022919869700691434	-0.0004696671867905969
BB7-240.AG.BY.AA	0	0.03166605610439617	-0.0015175018315040506
BB7-240.AG.BY.AA	1	0.03246056220158987	-0.0007229957343103527
BB7-240.AG.BY.AA	2	0.03459632621653996	0.0014127682806397424
BB7-240.AG.BY.AA	3	0.03195193369939789	-0.0012316242365023322
BB7-240.AG.BY.AA	4	0.03312579956173134	-5.775837416888141e-05
BB7-240.AG.BY.AA	5	0.03382071666688705	0.0006371587309868323
BB7-240.AG.BY.AA	6	0.034004000118257306	0.0008204421823570854
BB7-240.AG.BY.AA	7	0.033887364021716715	0.0007038060858164941
BB7-240.AG.BY.AA	8	0.03166153703023853	-0.0015220209056616904
BB7-240.AG.BY.AA	9	0.032372136571400686	-0.0008114213644995344
BB7-240.AG.BY.AA	10	0.03458845049970266	0.00140489256380244
BB7-240.AG.BY.AA	11	0.03477865897506338	0.0015951010391631604
BB7-240.AG.BY.AA	12	0.03286719760958556	-0.0003163603263146575
