cohort	kind	S1_D	S1_SE	S1_Z	S1_nSNP	S1_D_TV	S1_Z_TV	S1_nSNP_TV	S2_D	S2_SE	S2_Z	S2_nSNP	S2_D_TV	S2_Z_TV	S2_nSNP_TV
EAsia_late	ancient	-0.002574727678738522	0.003991448559341663	-0.6450609698357705	560996	0.010692943911654196	1.6005699626491614	104211	-0.0011734017282364517	0.002574362242367016	-0.45580288155467935	560997	-0.005920404680757033	-1.1822024422173054	104212
Jomon	ancient	-0.004979209020669415	0.0051270733441601156	-0.971160092012508	560989	0.011766247105342303	1.561633817698594	104209	-0.004060803732026519	0.004525058733772479	-0.8974035412444433	560990	-0.004570709141607955	-0.5177176454764751	104210
Papuan	present_day	0.034485003626997454	0.005822532027628516	5.922681655225347	560995	0.04643710780094521	5.9749376070892355	104212	0.04271400589784061	0.005848653342140101	7.303220655955475	560996	0.0374847500037739	5.001403364841365	104213
Han	present_day	-0.0033849370791040577	0.004372991878874158	-0.7740551944440203	560996	0.004349471668614369	0.6441292741756737	104212	-0.0021396564109081736	0.003021272508150418	-0.7081970941502532	560997	-0.013571206574650324	-2.5164685018328066	104213
Japanese	present_day	-0.0035071016501190865	0.004345076392208342	-0.8071438413391477	560996	0.007091401329039781	1.0224661890447913	104212	-0.0022885919303243696	0.0030426103114882352	-0.7521804293120101	560998	-0.010243462360419503	-1.694522678465983	104213
Dai	present_day	-0.002277587921449682	0.004142061217508882	-0.5498682423673759	560997	0.007759488474189317	1.2097438981977977	104212	-0.0007985080369871677	0.003003907731898761	-0.26582309053894715	560998	-0.009436316524503408	-1.6806795656800972	104213
Karitiana	present_day	0.0009536704058879218	0.005231179077664267	0.18230505813877387	560997	0.01539502145704174	1.7265188641886378	104212	0.0031682543620762072	0.004432586422840016	0.7147642617301222	560998	-0.00010458240923570467	-0.013850068226515709	104213
French	present_day	-0.0016222945904294363	0.0037207220191801016	-0.436016069479688	560995	0.015538618812499488	2.4516888617542074	104212	0.0	0.0	NA	560998	0.0	NA	104213
Mbuti	present_day	0.0	0.0	NA	560997	0.0	NA	104212	0.0016222945904294363	0.0037207220191801016	0.436016069479688	560995	-0.015538618812499488	-2.4516888617542074	104212
Yoruba	present_day	-0.00508532465613307	0.0024717920210349754	-2.057343260621001	560997	0.002407688621237876	0.5556670535011856	104212	-0.0033362069999360302	0.0031264210556100056	-1.067100988828612	560998	-0.013840417527510515	-2.446561951762614	104213
TT_10_5k	transect	-0.0017175961183882817	0.0039046458548000003	-0.4398852500993995	560997	0.014199936672540079	2.070937929105859	104212	-0.0001251372546505377	0.0019786152088228787	-0.06324486645636601	560998	-0.0016593491827492923	-0.3908161016858053	104213
TT_15_10k	transect	-0.002318921793856699	0.004514580714102437	-0.5136516413612806	560994	0.014713685112246461	2.0668311386352998	104211	-0.0008751174163592489	0.0027118394621031394	-0.32270251561298563	560995	-0.0010359012507964636	-0.19769192098750016	104212
TT_25_15k	transect	-0.0006503072389820014	0.005158661067116651	-0.12606124545132794	543015	0.023795992809257552	2.6907130130143715	101246	0.0007437477655973607	0.003959691463485729	0.1878297267491233	543017	0.010301128253214211	1.1516787673892466	101247
TT_40_25k	transect	-0.0023735897017710243	0.004030315584775738	-0.5889339561242075	560996	0.016141274691439212	2.7126916713314824	104211	-0.0009327705963015096	0.00269101701836364	-0.3466238191495017	560997	0.0007547676326501852	0.13641405511166788	104212
