genetic_id,group_id,country,date_bp,is_o,alpha_Nea,alpha_SE,alpha_nSNP,PC1,PC2,z_within_etr,z_ancestry_cond,high_conf
CSN007.AG,Italy_Tuscany_IA_b_IA_c_Etruscan,Italy,2350.0,False,0.037603,0.023478,13787,0.4323383867740631,0.717639148235321,0.7967568678207032,0.7674032425325437,False
ETR005.AG,Italy_Tuscany_IA_a_Etruscan,Italy,2737.0,False,0.027637,0.011214,63497,3.392655611038208,1.348607897758484,0.7794058982249393,0.7309291874776513,False
CSN003.AG,Italy_Tuscany_IA_c_Etruscan,Italy,2231.0,False,0.023744,0.006653,202688,6.905198574066162,3.04676365852356,0.7285822550269762,0.7022898684100518,True
R10343.SG,Italy_Lazio_IA_Etruscan,Italy,2328.0,False,0.022481,0.005075,354951,12.005720138549805,7.740359306335449,0.7062576832895513,0.1601875048634885,True
R10339.SG,Italy_Lazio_IA_d_Etruscan,Italy,2054.0,False,0.023702,0.006994,247876,7.579758644104004,-6.108893394470215,0.6870542954953491,0.3104728399852358,True
VET001.AG,Italy_Tuscany_IA_a_IA_b_Etruscan,Italy,2500.0,False,0.011758,0.010816,79192,2.3825273513793945,0.7513415217399597,-0.6600168507124196,-0.7035717365610926,False
TAQ024.AG,Italy_Lazio_IA_c_IA_d_Etruscan,Italy,2167.0,False,0.022031,0.004845,366933,12.10775375366211,8.021265029907227,0.6469056228471558,0.5028213505506189,True
R10337.SG,Italy_Lazio_IA_d_Etruscan-oLevant,Italy,2028.0,True,0.022975,0.006485,341187,6.754318714141846,13.600838661193848,0.6288755193052382,0.3819547976797692,True
CAM002.AG,Italy_Tuscany_IA_a_IA_b_Etruscan,Italy,2589.0,False,0.015277,0.005774,335776,11.003414154052734,0.328108549118042,-0.6269037508322702,-0.7688279791542667,True
CSN012.AG,Italy_Tuscany_IA_c_Etruscan-oSteppe,Italy,2250.0,True,0.005868,0.020916,16686,0.486365258693695,0.1679469347000122,-0.6229079296856727,-0.6510709236089949,False
CSN005.AG,Italy_Tuscany_IA_b_IA_c_Etruscan,Italy,2350.0,False,0.026592,0.013022,37985,2.152716636657715,-0.1246570274233818,0.5909428461599195,0.5618776587913442,False
