genetic_id,group_id,locality,country,region,lat,lon,date_bp,full_date,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,D_Den_Z,coverage,snps_hit,assessment,data_type,high_conf
poz679.SG,Poland_BA_Trzciniec,"Żerniki Górne-1 (Świętokrzyskie Province, Busko County, Busko-Zdrój)",Poland,Europe,50.465,20.796,3300.0,1600-1100 BCE,0.052515,0.019035,0.015206400000000002,0.0898236,23283,1.408,-1.013,0.0455,51112.0,Pass,SG,False
XAN051_d.AG,Greece_Crete_LBA,Chania (Crete),Greece,Near East / Anatolia,35.5172563,24.0149291,3300.0,1400-1300 BCE,0.052503,0.013322,0.02639188,0.07861412000000001,33192,1.335,-0.162,0.0655,70980.0,Pass,AG,False
Choskar_A.SG,India_Choskar,"Choskar (Ladakh, Kargil District)",India,South Asia,34.403104,76.142296,129.0,"1683-1930 calCE (100±30 BP, Beta-318252)",0.052479,0.014485,0.0240884,0.0808696,29836,3.408,-0.899,0.0602,66966.0,PROVISIONAL_PASS,SG,False
CHN004_alt.AG,Mongolia_Uvs_EIA-4,"Ulaangom (Uvs Province, Ulaangom District, Chandman Uul)",Mongolia,Central Asia / Steppe,49.999824,92.033372,2220.0,"361-170 calBCE (2190±25 BP, PSUAMS-7270)",0.052405,0.021768,0.00973972,0.09507028000000001,15904,2.95,0.359,0.03358569,36248.0,MERGE_PASS,AG,False
cch361.SG,Turkey_Catalhoyuk_MN,"Çatalhöyük (Konya, Çumra)",Turkey,Europe,37.6661,32.8257,8500.0,6600-6500 BCE,0.052367,0.022581,0.008108239999999996,0.09662576,16249,1.962,1.32,0.0312,35276.0,PROVISIONAL_PASS,SG,False
ORD006.SG,Italy_Apulia_IA_b_Daunian,"Herdonia (Apulia, Foggia, Ordona)",Italy,Europe,41.3167,15.633,2576.0,"770-426 calBCE (2476±29 BP, UBA-45174)",0.052332,0.011731,0.029339239999999996,0.07532475999999999,57810,3.756,0.074,0.14012649,127985.0,Questionable,SG,False
I8474.AG,Spain_ImperialRoman-oLocal,"Necrópolis Centre de Visitants (Catalonia, Girona, Empúries)",Spain,Europe,42.133301,3.1083,1800.0,100-200 CE,0.052103,0.018474,0.01589396,0.08831204,21623,1.969,-1.153,0.04475252,48505.0,Pass,AG,False
BOT14.AG,Kazakhstan_Botai_Eneolithic,Botai (Aiyrtau District),Kazakhstan,Central Asia / Steppe,53.303255,67.646395,5337.0,"3517-3111 calBCE (4603±40 BP) [R_Combine: (4598±46 BP, UBA-32662), (4620±80 BP, OxA-4316)]",0.052047,0.010856,0.030769240000000003,0.07332476,51366,3.886,0.242,0.31372133,109354.0,Pass,AG,False
cambridgeshire525.SG,England_Cambridgeshire_Medieval,Cambridgeshire (England),United Kingdom,Europe,52.205,0.1225,700.0,1000-1500 CE,0.052011,0.018933,0.014902320000000004,0.08911968,22059,2.491,0.87,0.0444,49772.0,Pass,SG,False
VK264_d.SG,England_Viking,"Ridgeway Hill Mass Grave (England, Dorset, Weymouth)",United Kingdom,Europe,50.6710879,-2.465799,950.0,950-1050 CE,0.05201,0.009126,0.03412304,0.06989696000000001,71796,4.293,3.13,0.1502,159313.0,Pass,SG,False
