label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
NULLrand_Europe_Iron_Classical_r1B,null-random,823,2175.0,1500.0,2977.0,Europe,1.6086,326844.0,0.116,0.020855434993924667,,0.07864949129413948,0.011318096335010666,6.94900352198366,0.04748626082794994,0.0064648610840409414,7.345287116095009,1.6562578295877777,0.30643464520768254,True,138509
NULLrand_Europe_Iron_Classical_r2A,null-random,823,2175.0,1500.0,2977.0,Europe,1.6482999999999999,330086.0,0.1165,0.020438884568651276,,0.07951922179487789,0.01148736022853852,6.92232333737781,0.04688302948837273,0.00644515985697635,7.274145332117054,1.696119526887637,0.3199162211040093,True,138509
NULLrand_Europe_Iron_Classical_r2B,null-random,823,2175.0,1500.0,2993.0,Europe,1.58631204,328601.0,0.116,0.020894427703523694,,0.07766137905678026,0.011390534535990952,6.818062735457383,0.0472558376163871,0.006322453783394703,7.474287552801077,1.6434240291584485,0.30277116447038566,True,138509
NULLrand_Europe_Medieval_Recent_r0A,null-random,1492,1175.0,100.0,1495.0,Europe,1.69986503,326523.0,0.154,0.022196855898123327,,0.07980516159749373,0.011209425473720518,7.119469395161215,0.04834317507500365,0.006255683614780406,7.727880444717894,1.6508051337893574,0.2964145565687408,True,138509
NULLrand_Europe_Medieval_Recent_r0B,null-random,1492,1175.0,100.0,1498.0,Europe,1.6942,336530.5,0.155,0.022060794906166217,,0.08010747466874182,0.011206583008467262,7.14825157750723,0.048262805456299046,0.006180796964500331,7.808508471237369,1.6598180298755623,0.29624956006245745,True,138509
NULLrand_Europe_Medieval_Recent_r1A,null-random,1492,1175.0,123.0,1498.0,Europe,1.74393975,333285.0,0.154,0.022065262064343165,,0.07993250502927585,0.011096810090855204,7.203196628114561,0.048426094671193916,0.006180776062062023,7.834953763886741,1.650608118866612,0.2934244235914595,True,138509
NULLrand_Europe_Medieval_Recent_r1B,null-random,1492,1150.0,100.0,1495.0,Europe,1.66419442,330099.5,0.154,0.02219238873994638,,0.079979623817893,0.011313388968253036,7.06946645627823,0.04817600619929145,0.006256766706150693,7.699824599810025,1.6601547145074327,0.2992064582593593,True,138509
NULLrand_Europe_Medieval_Recent_r2A,null-random,1492,1175.0,123.0,1495.0,Europe,1.68068178,328445.0,0.15435469,0.022148423592493294,,0.08028518821291485,0.011221806938591613,7.154390433934073,0.04844671584716299,0.006188253710500288,7.828818615655356,1.6571853593996775,0.2946201415883783,True,138509
NULLrand_Europe_Medieval_Recent_r2B,null-random,1492,1175.0,100.0,1498.0,Europe,1.7161343800000002,335449.0,0.154,0.022109227211796246,,0.07961643516602111,0.011192859621675467,7.113145152990248,0.04815726833254022,0.006251095825574303,7.703812207696544,1.6532589559741224,0.2983125963586556,True,138509
NULLrand_Europe_Neolithic_r0A,null-random,731,6414.0,5000.0,7981.0,Europe,1.636112195,320096.0,0.115,0.02033052120383037,,0.07930339649271052,0.01199953577192644,6.608872043053957,0.046288710348153676,0.006360628940325019,7.277379451376767,1.7132340887495412,0.32299919237012287,True,138509
NULLrand_Europe_Neolithic_r0B,null-random,731,6435.0,5000.0,7994.0,Europe,1.6333,325267.0,0.116,0.02087460191518468,,0.07836028982570567,0.011809346804293405,6.6354465767079525,0.047157975985846284,0.006427461019898082,7.336952466900227,1.6616550686828515,0.30938311355547404,True,138509
NULLrand_Europe_Neolithic_r1A,null-random,731,6367.0,5000.0,7981.0,Europe,1.5563752,315613.0,0.116,0.02048692886456908,,0.07878943026002283,0.011995564753548607,6.568213492133817,0.046704255793517634,0.006395400524202265,7.3027882486442595,1.6869860984051583,0.3184312082004039,True,138509
NULLrand_Europe_Neolithic_r1B,null-random,731,6450.0,5000.0,7994.0,Europe,1.7027469100000001,327345.0,0.1155,0.020718194254445963,,0.07883948514360235,0.011815155215522571,6.672742228559489,0.04673601756515012,0.006397779710131899,7.305037010126532,1.6869106366133984,0.3139649872172744,True,138509
NULLrand_Europe_Neolithic_r2A,null-random,731,6450.0,5016.0,7994.0,Europe,1.5214798,314743.0,0.116,0.020650013679890562,,0.07928702437966671,0.011923690206506616,6.6495374340068585,0.04696525298562137,0.0063760090318256465,7.365932631399328,1.6882060531844854,0.31649165346785785,True,138509
