label,kind,n_ind,date_bp,date_min,date_max,region,median_coverage,median_snps,median_damage,mean_alpha,note,D_VA,D_VA_se,D_VA_z,D_NEA,D_NEA_se,D_NEA_z,R,R_se,testable,n_snp
NULLcov_EastAsia_Bronze_LO,null-coverage,106,4238.5,3005.0,4950.0,EastAsia,0.56335,199219.0,0.073,0.022457207547169816,,0.07566485685730329,0.007992087540947577,9.467470979219545,0.03317763131429476,0.0036673825408622754,9.04667864468102,2.280598519542372,0.3607614565485586,True,507219
NULLcov_Europe_Bronze_HI,null-coverage,716,4025.0,3000.0,4995.0,Europe,2.81490111,359805.0,0.111,0.020764067039106146,,0.07529509679712308,0.006115416034431463,12.312342508374101,0.03209259627554786,0.0038654993591213348,8.302315766737786,2.346182781556139,0.3317797074530316,True,507219
NULLcov_Europe_Bronze_LO,null-coverage,716,4052.0,3000.0,4998.0,Europe,0.71304032,208963.5,0.102,0.02070353351955307,,0.07429311086124481,0.00617546012029561,12.030376589605197,0.03282432853627382,0.003893604680369156,8.430318748528347,2.263355083688743,0.3261282165666158,True,507218
NULLcov_Europe_Iron_Classical_HI,null-coverage,823,2175.0,1500.0,2977.0,Europe,3.3809500000000003,378268.0,0.117,0.020767667071688947,,0.07481473571331168,0.006000366954257888,12.468360065916102,0.03156919187535291,0.003806123123587044,8.29431703869864,2.3698654057635844,0.33363530257816204,True,507219
NULLcov_Europe_Iron_Classical_LO,null-coverage,823,2175.0,1500.0,2993.0,Europe,0.75204548,237336.0,0.114,0.020565645200486024,,0.07480869786814401,0.006195337283029493,12.075000028337906,0.03139066763651666,0.003825965087685966,8.204640376240986,2.383150901228978,0.33704153721409374,True,507219
NULLcov_Europe_Medieval_Recent_HI,null-coverage,1492,1175.0,100.0,1495.0,Europe,2.678680565,390669.0,0.149,0.021804900804289543,,0.07654363834890052,0.006056421809769278,12.63842591436287,0.032729865356080294,0.003703364753272893,8.837872458324522,2.3386481281286677,0.3145176236205102,True,507219
NULLcov_Europe_Medieval_Recent_LO,null-coverage,1492,1150.5,146.0,1498.0,Europe,0.8728,234179.5,0.163,0.022452749999999997,,0.07571053629318078,0.006073654658463969,12.46540024920153,0.033289599959096354,0.0036832024073598724,9.03822170961232,2.2742999731510123,0.3047682001812435,True,507219
NULLcov_Europe_Neolithic_HI,null-coverage,731,6217.0,5000.0,7981.0,Europe,3.7447,388790.0,0.11,0.021188354309165526,,0.07472236308626481,0.006355151599060351,11.757762489460202,0.032076617932573284,0.003833831299106745,8.366726501514792,2.329496309222347,0.3274471489712986,True,507219
NULLcov_Europe_Neolithic_LO,null-coverage,731,6486.0,5016.0,7994.0,Europe,0.807190615,236443.0,0.124,0.02001676880984952,,0.07383066101615489,0.0067027171546109226,11.015034546902433,0.0315336658617648,0.0037844176186940357,8.332501599716881,2.3413281963412964,0.34407394277067266,True,507219
NULLrand_EastAsia_Bronze_r0A,null-random,106,4283.0,3001.0,4950.0,EastAsia,1.163623,280189.5,0.085,0.022533990566037734,,0.0738230217251681,0.007824146649837183,9.435280935934951,0.03365735082118968,0.00374182046227908,8.994913347790492,2.1933699451678557,0.3424244804381819,True,507219
NULLrand_EastAsia_Bronze_r0B,null-random,106,4105.5,3001.0,4996.0,EastAsia,1.146950525,309828.0,0.083,0.022205726415094336,,0.07463817868350633,0.007985103901397061,9.34717689402235,0.03301339854970187,0.0036411107973690145,9.066848109526525,2.260845049658796,0.3596496642443056,True,507219
NULLrand_EastAsia_Bronze_r1A,null-random,106,4127.0,3001.0,4996.0,EastAsia,1.2045,290250.0,0.0845,0.02254948113207547,,0.07462067998331076,0.0077660222521890795,9.608610117267787,0.033435375809330266,0.003644365133281627,9.174540581564298,2.2317882834290614,0.3500728230909726,True,507219
NULLrand_EastAsia_Bronze_r1B,null-random,106,4200.0,3035.0,4861.0,EastAsia,1.13842048,288049.0,0.0755,0.022190235849056602,,0.07413709698501834,0.008088961548458647,9.165218123597729,0.03314759802631766,0.0037179325119011527,8.915599710379826,2.236575239212112,0.3560677578379948,True,507219
