label,residual,residual_se,residual_z,in_fit,kind,n_ind,date_bp,region,D_VA,D_NEA,R
EastAsia_LateGlacial_Meso,-0.0033686438239757532,0.006546775947062139,-0.514550039777584,True,grid,20,9417.0,EastAsia,0.07089902976763633,0.03318615838086442,2.1364036461815257
EastAsia_Medieval_Recent,-0.0018065897832467565,0.003620996255484805,-0.49892064387260104,True,grid,111,700.0,EastAsia,0.07421157579837374,0.03396835744023303,2.184726651235587
WestSiberia_Iron_Classical,0.0009313639457174394,0.0019184093553271068,0.4854875958205662,True,grid,102,2227.0,WestSiberia,0.07368772531967363,0.032510835670557674,2.266558942574534
CentralAsia_Bronze,-0.0014097233242417045,0.003029522773856634,-0.465328511938236,True,grid,74,3760.0,CentralAsia,0.0677848126380172,0.03091925084608131,2.1923174327688537
WestSiberia_Neolithic,-0.0017711091198336498,0.003972274155965724,-0.4458677951957887,True,grid,191,6617.0,WestSiberia,0.07420993734854381,0.03395177094019245,2.1857457002542784
UP_Europe_post_LGM,-0.0031210818070473573,0.008135784567308561,-0.38362394938388317,False,named,5,17045.0,Europe,0.08068810778278204,0.03744973963765168,2.154570594174675
InnerAsia_Medieval_Recent,0.0009078059546641648,0.0029946378664234214,0.3031438174353891,True,grid,61,1008.0,InnerAsia,0.07364600344905935,0.03250271922695885,2.265841295763798
Caucasus_Iron_Classical,0.0007204982179963848,0.0025681710435662896,0.28054915571194405,True,grid,127,2599.0,Caucasus,0.06868836838819892,0.030371121043612732,2.261634277166222
PD_Han,0.0016232536469679287,0.006104488239459549,0.2659115036826807,False,present-day,46,0.0,EastAsia,0.07557720637922169,0.03304597369993182,2.287032213530377
EastAsia_Iron_Classical,-0.0005708198231041545,0.004559515865319721,-0.1251930775032247,True,grid,204,2051.0,EastAsia,0.07516836646483106,0.033843696863464036,2.2210447862148026
UP_NorthEastAsia,0.0006070027715087689,0.007897134135693623,0.07686367751628097,False,named,8,31850.0,EastAsia,0.07348743320075606,0.03256627534060437,2.25655014066439
PD_Dai,-0.0005485015519479802,0.007304853068350566,-0.07508728058124128,False,present-day,14,0.0,SEAsia,0.07028754607772983,0.03165275256418486,2.22058242597392
EastAsia_Bronze,-0.0002167420988442581,0.004744304172033046,-0.04568469705671907,True,grid,212,4153.5,EastAsia,0.07435554559714387,0.03332227375144215,2.2314067206751114
SouthAsia_Iron_Classical,0.00017354137987095342,0.005770249091909376,0.03007519729335091,True,grid,67,2243.0,SouthAsia,0.07067936888113358,0.03150519526297738,2.2434194833951984
InnerAsia_Bronze,-4.0322253081703785e-05,0.003353242862412826,-0.012024853175319938,True,grid,59,3722.0,InnerAsia,0.07525517662769106,0.03364543724587247,2.2367126953276006
