replacement,label,fraction,alpha,D_VA_base,D_VA_mixed,realised,predicted,kappa,implied_source_D_VA
equidistant,WestSiberia_LateGlacial_Meso,0.05,0.0251099729729729,0.07534567814230977,0.07400512494089753,-0.0013405532014122423,-0.003767283907115489,0.3558407686981757,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.1,0.0251099729729729,0.07534567814230977,0.07266467162048146,-0.0026810065218283163,-0.007534567814230978,0.3558275123311709,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.133,0.0251099729729729,0.07534567814230977,0.07178002713839421,-0.0035656510039155653,-0.0100209751929272,0.35581876367004683,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.15,0.0251099729729729,0.07534567814230977,0.07132431816989893,-0.004021359972410848,-0.011301851721346465,0.35581425695184726,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.2,0.0251099729729729,0.07534567814230977,0.0699840645779899,-0.00536161356431987,-0.015069135628461955,0.35580100256003255,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.3,0.0251099729729729,0.07534567814230977,0.06730385692555665,-0.00804182121675312,-0.02260370344269293,0.3557744967386213,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.4,0.0251099729729729,0.07534567814230977,0.06462404857392955,-0.010721629568380228,-0.03013827125692391,0.35574799486606457,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.5,0.0251099729729729,0.07534567814230977,0.06194463943388187,-0.013401038708427904,-0.03767283907115489,0.35572149694151217,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,0.7,0.0251099729729729,0.07534567814230977,0.056587018431755794,-0.01875865971055398,-0.05274197469961684,0.35566851293283597,3.0006276081383296
equidistant,WestSiberia_LateGlacial_Meso,1.0,0.0251099729729729,0.07534567814230977,0.04855357878629615,-0.02679209935601362,-0.07534567814230977,0.35558906650770095,3.0006276081383296
equidistant,WestSiberia_Medieval_Recent,0.0,0.0214901705426356,0.07411543933660765,0.07411543933660765,0.0,-0.0,,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.02,0.0214901705426356,0.07411543933660765,0.07361618663116437,-0.0004992527054432788,-0.001482308786732153,0.3368074924145287,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.05,0.0214901705426356,0.07411543933660765,0.07286728562277396,-0.0012481537138336884,-0.0037057719668303827,0.33681341566768286,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.1,0.0214901705426356,0.07411543933660765,0.07161905873808927,-0.00249638059851838,-0.0074115439336607655,0.3368232882194289,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.133,0.0214901705426356,0.07411543933660765,0.07079518890808002,-0.003320250428527627,-0.009857353431768818,0.3368298044206209,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.15,0.0214901705426356,0.07411543933660765,0.07037075867611879,-0.0037446806604888583,-0.011117315900491148,0.33683316134998226,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.2,0.0214901705426356,0.07411543933660765,0.06912238543042745,-0.004993053906180198,-0.014823087867321531,0.33684303505936253,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.3,0.0214901705426356,0.07411543933660765,0.0666254193621369,-0.007490019974470755,-0.022234631800982296,0.3368627842148416,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.4,0.0214901705426356,0.07411543933660765,0.06412816048172165,-0.009987278854885998,-0.029646175734643062,0.3368825356862253,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.5,0.0214901705426356,0.07411543933660765,0.06163060873767233,-0.01248483059893532,-0.037057719668303825,0.33690228947394824,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,0.7,0.0214901705426356,0.07411543933660765,0.05663462645257533,-0.017480812884032318,-0.05188080753562535,0.336941804000037,3.448806475945164
equidistant,WestSiberia_Medieval_Recent,1.0,0.0214901705426356,0.07411543933660765,0.049155204007389625,-0.024960235329218025,-0.07411543933660765,0.3367751112673966,3.448806475945164
equidistant,WestSiberia_Neolithic,0.0,0.0228018481675392,0.07420993734854381,0.07420993734854381,0.0,-0.0,,3.25455799912699
equidistant,WestSiberia_Neolithic,0.02,0.0228018481675392,0.07420993734854381,0.07368363155346397,-0.00052630579507984,-0.0014841987469708762,0.35460600957519034,3.25455799912699
equidistant,WestSiberia_Neolithic,0.05,0.0228018481675392,0.07420993734854381,0.07289414916575523,-0.0013157881827885742,-0.0037104968674271906,0.3546123955363758,3.25455799912699
equidistant,WestSiberia_Neolithic,0.1,0.0228018481675392,0.07420993734854381,0.07157828199554384,-0.002631655352999973,-0.007420993734854381,0.3546230393161237,3.25455799912699
equidistant,WestSiberia_Neolithic,0.133,0.0228018481675392,0.07420993734854381,0.07070976639043959,-0.003500170958104218,-0.009869921667356327,0.35463006456075996,3.25455799912699
