label,residual,residual_se,residual_z,in_fit,kind,n_ind,date_bp,region,D_VA,D_NEA,R
WestSiberia_Neolithic,-0.005027053417708857,0.005493833028210536,-0.9150357122058878,True,grid,191,6617.0,WestSiberia,0.07330212090762951,0.04998651701465085,1.4664378573555135
PD_Han,0.006237464047084737,0.006871566419238737,0.9077208407127282,False,present-day,46,0.0,EastAsia,0.07486652750070301,0.043796297836298216,1.7094259377936254
EastAsia_Bronze,0.00502151533241392,0.00557543015951729,0.900650745995296,True,grid,212,4153.5,EastAsia,0.07733082776558226,0.04614488416851647,1.6758266741591086
InnerAsia_Medieval_Recent,0.0034218129268046987,0.004329897278973963,0.7902757747674677,True,grid,61,1008.0,InnerAsia,0.0758043775376926,0.04619163075124861,1.6410846792986094
ANC_Americas,0.006366284994180169,0.008708011952518026,0.731083630671784,False,ancient-other,855,883.0,Americas,0.083875586226628,0.04946330710390409,1.6957132698474133
EastAsia_LateGlacial_Meso,0.005360898226182451,0.008461711337756785,0.6335477555540951,True,grid,20,9417.0,EastAsia,0.07958372593535996,0.04736601237171631,1.6801863182149956
UP_NorthEastAsia,-0.006541205999306118,0.01105749772373423,-0.5915629523726537,False,named,8,31850.0,EastAsia,0.0752590618021851,0.05220162874791766,1.4416994949642679
Europe_Bronze,0.002265841587679243,0.0038558107678202114,0.5876433580686796,True,grid,1432,4044.0,Europe,0.07811690268382744,0.0484050851897647,1.6138160356000228
WestSiberia_Iron_Classical,-0.0019475700034213839,0.003385564381721518,-0.5752571163426136,True,grid,102,2227.0,WestSiberia,0.0732518649289734,0.04798924367729882,1.5264225754744492
ANC_Oceania,-0.0039660888007711365,0.0079988064640678,-0.49583507471865723,False,ancient-other,160,525.0,Oceania,0.07433962886388897,0.049971547920718735,1.4876391057933782
WestSiberia_LateGlacial_Meso,-0.0033691992514005425,0.007048600948375512,-0.4779954598191632,True,grid,37,8342.0,WestSiberia,0.07954851298946843,0.05291473667945133,1.5033338155183513
Caucasus_Medieval_Recent,0.002335572619187168,0.005281459068627588,0.44222109626120376,True,grid,36,975.0,Caucasus,0.07650788287668488,0.04733377417337349,1.6163486688480166
UstIshim_44ka,-0.008038108945052198,0.018276793852158014,-0.43979863263069563,False,named,1,44366.0,WestSiberia,0.06079835760910272,0.043928654122486116,1.3840250475140636
InnerAsia_Bronze,-0.002324228368278003,0.005316317802877838,-0.437187627688444,True,grid,59,3722.0,InnerAsia,0.07482208139633796,0.04923166060259429,1.51979601095144
InnerAsia_Iron_Classical,-0.001088760607365083,0.0028119798316720407,-0.38718649227213386,True,grid,220,2225.0,InnerAsia,0.07587201636244348,0.04911326106264898,1.5448376817344907
EastAsia_Iron_Classical,0.0020157968349328037,0.005319074846938256,0.3789750836262679,True,grid,204,2051.0,EastAsia,0.07732769967031043,0.04806101615280972,1.6089484963124263
SouthAsia_Iron_Classical,0.0021109016633776567,0.006564275749483978,0.32157419095984746,True,grid,67,2243.0,SouthAsia,0.07127265189394352,0.044136237033522166,1.6148329962930648
NearEast_Iron_Classical,0.002209005595207175,0.007525152573271164,0.29354960895456317,True,grid,29,2375.0,NearEast,0.07340525389112147,0.045434571568971446,1.6156255326340965
EastAsia_Medieval_Recent,0.0015048628215007798,0.005205853958802394,0.2890712711900534,True,grid,111,700.0,EastAsia,0.0776493142003172,0.048592315024406064,1.5979751975454743
WestSiberia_Medieval_Recent,-0.0009469625983462293,0.0033851037650442866,-0.2797440386096526,True,grid,129,950.0,WestSiberia,0.07387877043466831,0.04775076221094006,1.5471746840041463
Caucasus_Bronze,0.0008712022258125646,0.0033827036621149184,0.2575461266588973,True,grid,307,3842.0,Caucasus,0.07172827521364857,0.04521812357939113,1.586272705184517
PD_Dai,-0.0017467341342995851,0.007598282538675159,-0.22988538862680233,False,present-day,14,0.0,SEAsia,0.06702760200783411,0.04388900500165246,1.527207144598299
CentralAsia_Iron_Classical,0.0009428716825160555,0.004109811004771896,0.22941971818686757,True,grid,134,2837.5,CentralAsia,0.07316752337314592,0.046090857100264795,1.5874628500394183
Caucasus_Neolithic,-0.000736515209813951,0.004302978804067279,-0.17116403388224435,True,grid,98,5534.0,Caucasus,0.0711141789464258,0.04585221249796236,1.5509432385533426
CentralAsia_Medieval_Recent,-0.0005396569623745684,0.0045784509918180075,-0.11786889568960568,True,grid,43,1000.0,CentralAsia,0.0719735744861668,0.04627501705220063,1.5553440943085308
Europe_LateGlacial_Meso,-0.0007721091022604432,0.006605595188076165,-0.11688713587144821,True,grid,145,8704.0,Europe,0.0752766769745698,0.04853126529055362,1.551096525588053
Caucasus_Iron_Classical,-0.00028926259486243555,0.003708748913983131,-0.0779946557643269,True,grid,127,2599.0,Caucasus,0.0720214802798377,0.04614579701855713,1.5607375954710432
ANC_Africa,-0.00015873702105597548,0.004262787160186872,-0.03723784817091754,False,ancient-other,196,2227.5,Africa,0.035946013712888525,0.023040594419852498,1.5601165949918512
SouthAsia_Medieval_Recent,0.0002271828489281147,0.008354709895788527,0.027192188808690277,True,grid,30,900.0,SouthAsia,0.07462744766000079,0.047479245567256884,1.571790932404076
