label,kind,alpha,n_ind,D_VA,signal_per_f,kappa,denom_sum,n_snp
NULLrand_Europe_Iron_Classical_r1B,null-random,0.0208554349939246,823,0.07544801600716838,-0.02475074811445377,0.3280503507488146,4940.277173413056,507219
NULLrand_Europe_Neolithic_r0B,null-random,0.0208746019151846,731,0.0743380622953012,-0.02447141984711923,0.32919098361628985,4944.708215160986,507219
NULLrand_Europe_Iron_Classical_r2B,null-random,0.0208944277035236,823,0.07466882532350859,-0.02483041227544433,0.3325405504621856,4938.95106016743,507219
NULLrand_Europe_Bronze_r2A,null-random,0.0209158058659217,716,0.07503059277053367,-0.02468864381137567,0.3290476977421868,4947.135617840457,507219
EastAsia_LateGlacial_Meso,grid,0.02095135,20,0.07089902976763633,-0.021670070883780812,0.3056469313445057,4934.619136987125,507218
NULLrand_Europe_Bronze_r0B,null-random,0.0210051284916201,716,0.07523928415341774,-0.024780869387647925,0.3293607809600918,4945.468721561846,507219
ANC_Oceania,ancient-other,0.02116413125,160,0.0727763986428598,-0.023760552747262992,0.32648706435536395,4933.910604317991,507089
NULLcov_Europe_Neolithic_HI,null-coverage,0.0211883543091655,731,0.07472236308626481,-0.024921995643692324,0.33352793747864473,4946.42025897251,507219
SouthAsia_Medieval_Recent,grid,0.0212968999999999,30,0.07101367134645936,-0.0227805654428595,0.32079126470899333,4926.40083251116,507194
WestSiberia_Medieval_Recent,grid,0.0214901705426356,129,0.07411543933660765,-0.0249638059851838,0.3368232882194289,4935.579102717726,507219
PD_French,present-day,0.0215734838709677,31,0.07474528774209008,-0.024506167732154804,0.32786237731418955,4911.163557996384,505851
PD_Dai,present-day,0.0216232142857142,14,0.07028754607772983,-0.022942779231094335,0.32641314872086014,4911.636594932073,507216
NULLcov_Europe_Medieval_Recent_HI,null-coverage,0.0218049008042895,1492,0.07654363834890052,-0.026194645429180874,0.34221845203883144,4935.0726470538375,507219
WestSiberia_Iron_Classical,grid,0.021913362745098,102,0.07368772531967363,-0.02531838018629176,0.34359019872651836,4934.515816032553,507219
WestSiberia_Bronze,grid,0.0220137368421052,209,0.07334390045842067,-0.02564771827575238,0.3496912233389102,4946.465861896784,507219
InnerAsia_Iron_Classical,grid,0.0220423045454545,220,0.07390310417903177,-0.02591476462700318,0.3506586755033203,4925.986377555166,507219
PD_Russian,present-day,0.0220497777777777,27,0.07561343591952939,-0.024961648885899884,0.3301218703044389,4916.148774172472,505849
PD_Han,present-day,0.0220583913043478,46,0.07557720637922169,-0.02447936649626198,0.3238988005647169,4914.6808825090175,505846
NULLrand_Europe_Medieval_Recent_r0B,null-random,0.0220607949061662,1492,0.07630409157735113,-0.026487722519050322,0.3471337115939469,4932.8349754925675,507219
NULLrand_Europe_Medieval_Recent_r1A,null-random,0.0220652620643431,1492,0.07648405389176487,-0.026491051951170325,0.34636045820294376,4933.632046799406,507219
NULLrand_Europe_Medieval_Recent_r2B,null-random,0.0221092272117962,1492,0.07631390618167891,-0.026524692868356847,0.34757351832063305,4933.609159984133,507219
Europe_Medieval_Recent,grid,0.0221288254021447,2984,0.07624286889799806,-0.02662335201992841,0.3491913723176735,4933.631284213281,507219
NULLrand_Europe_Medieval_Recent_r2A,null-random,0.0221484235924932,1492,0.07617684025517431,-0.026588587761889187,0.34903768222498777,4933.661793464812,507219
NULLrand_EastAsia_Bronze_r2A,null-random,0.0221544905660377,106,0.07457912565048833,-0.024953148951344928,0.33458623621154693,4926.702867997339,507219
NULLrand_EastAsia_Bronze_r1B,null-random,0.0221902358490566,106,0.07413709698501834,-0.02507837380641309,0.3382702429187501,4925.835814093845,507219
NULLrand_Europe_Medieval_Recent_r1B,null-random,0.0221923887399463,1492,0.0759994498872604,-0.02663311705549537,0.35043828731660087,4933.625350427625,507219
NULLrand_Europe_Medieval_Recent_r0A,null-random,0.0221968558981233,1492,0.07618163290225184,-0.026632615283398026,0.349593652285849,4934.423978689697,507219
NULLrand_EastAsia_Bronze_r0B,null-random,0.0222057264150943,106,0.07463817868350633,-0.025175922425957203,0.33730622678659516,4926.615365030104,507219
Siberia_Bronze,grid,0.0222216827586206,145,0.07490525707975076,-0.025869246031720028,0.34535955205623736,4938.610193833587,507219
Siberia_Iron_Classical,grid,0.0222237864077669,103,0.07435887703218291,-0.025731025374412658,0.34603838037086193,4937.731676765634,507219
NULLcov_EastAsia_Bronze_HI,null-coverage,0.0222825094339622,106,0.07361912994059817,-0.025418040138987935,0.3452640660042743,4926.959873004925,507219
EastAsia_Bronze,grid,0.022369858490566,212,0.07435554559714387,-0.02574401811718821,0.346228622363536,4925.992982070682,507219
NULLcov_Europe_Medieval_Recent_LO,null-coverage,0.0224527499999999,1492,0.07571053629318078,-0.02690109057554846,0.355315018128744,4931.018726301857,507219
NULLcov_EastAsia_Bronze_LO,null-coverage,0.0224572075471698,106,0.07566485685730329,-0.024996922655312198,0.33036370771775875,4926.411669827747,507219
EastAsia_Iron_Classical,grid,0.0225171519607843,204,0.07516836646483106,-0.026206461582680696,0.3486368377439981,4924.340821019167,507219
NULLrand_EastAsia_Bronze_r0A,null-random,0.0225339905660377,106,0.0738230217251681,-0.025375703187434928,0.34373698873916075,4925.036165261156,507219
NULLrand_EastAsia_Bronze_r1A,null-random,0.0225494811320754,106,0.07462067998331076,-0.0254996222064853,0.34172326240109846,4926.059137935613,507219
NULLrand_EastAsia_Bronze_r2B,null-random,0.0225852264150943,106,0.0741658982240979,-0.025586087381061773,0.3449845278452836,4925.186779071535,507219
PD_Karitiana,present-day,0.0227106666666666,15,0.0909861879200052,-0.02181219769397863,0.23973086676799618,4952.020342119815,505839
WestSiberia_Neolithic,grid,0.0228018481675392,191,0.07420993734854381,-0.02631655352999973,0.3546230393161237,4959.44908096813,507219
Europe_LateGlacial_Meso,grid,0.022846248275862,145,0.07648466856194479,-0.026192515643230774,0.34245445702647587,4961.532033035139,507219
EastAsia_Medieval_Recent,grid,0.0229177297297297,111,0.07421157579837374,-0.02634596609487519,0.3550115438385898,4929.200116947253,507219
UstIshim_44ka,named,0.02339,1,0.05625817430541966,-0.014435584260177256,0.25659532038505195,4878.496776096756,507183
WestSiberia_LateGlacial_Meso,grid,0.0251099729729729,37,0.07534567814230977,-0.026810065218283163,0.3558275123311709,4965.982052019111,507217
UP_Europe_post_LGM,named,0.0267467999999999,5,0.08068810778278204,-0.02267808629728918,0.28105859612348516,4894.381338884403,500298
UP_Europe_pre_LGM,named,0.0267537857142857,14,0.07254574290584394,-0.026042647436791272,0.3589824349940374,4950.156789891224,507203
Europe_Palaeolithic,grid,0.0274552857142857,28,0.07078026275301048,-0.0300059928939983,0.42393164036003894,4934.649731185519,507218
IUP_Eurasia_45ka,named,0.0283850999999999,10,0.0650702740163061,-0.0285747562886772,0.43913686734309104,4897.592136695821,507218
PD_Papuan,present-day,0.0289255,32,0.0638945620795559,-0.0297724151814599,0.46596164387807987,4920.54684142271,505851
