cohort_a,cohort_b,statistic,diff,se,z,se_independent,n_blocks_used
IUP_Eurasia_45ka,WestSiberia_Medieval_Recent,R,-0.5294904669123739,0.19395374336296348,-2.72998323069996,0.40504366465594077,50
IUP_Eurasia_45ka,WestSiberia_Neolithic,D_VA,-0.009139663332237702,0.005970413149811413,-1.5308259416731311,0.00972454045752075,50
IUP_Eurasia_45ka,WestSiberia_Neolithic,R,-0.5190130278201728,0.21011593162959666,-2.4701269617913413,0.43290612825683245,50
IUP_Eurasia_45ka,ANC_Americas,D_VA,-0.013621168128351013,0.006387854345419373,-2.13235421344861,0.01067052853423798,50
IUP_Eurasia_45ka,ANC_Americas,R,-0.7072034276374743,0.2425571422708801,-2.915615763842122,0.4551986348640705,50
IUP_Eurasia_45ka,ANC_Oceania,D_VA,-0.007706124626553693,0.006640006453459926,-1.1605598097782333,0.010468599112246148,50
IUP_Eurasia_45ka,ANC_Oceania,R,-0.4000179134402704,0.22290169871489957,-1.7945933824035578,0.40681523572365164,50
IUP_Eurasia_45ka,ANC_Africa,D_VA,0.03053730142663707,0.005518112986644736,5.534011626899495,0.007932754367864102,50
IUP_Eurasia_45ka,ANC_Africa,R,-0.4486762100583357,0.27607389500063373,-1.6252033176019984,0.4536449116625211,50
IUP_Eurasia_45ka,PD_French,D_VA,-0.00967501372578397,0.005571253795403772,-1.7365954022352668,0.009350864380623292,50
IUP_Eurasia_45ka,PD_French,R,-0.7689787960090231,0.23405618506592377,-3.2854453121691023,0.4448053230068537,50
IUP_Eurasia_45ka,PD_Sardinian,D_VA,-0.007331893461322264,0.006047621311533228,-1.2123598822796398,0.009994022142003976,50
IUP_Eurasia_45ka,PD_Sardinian,R,-0.7523773297616885,0.2504043588974431,-3.0046494920235634,0.461260454930621,50
IUP_Eurasia_45ka,PD_Basque,D_VA,-0.010468581810075955,0.005671450365093234,-1.8458385661819787,0.00951826330491839,50
IUP_Eurasia_45ka,PD_Basque,R,-0.8305334121566281,0.25133036048501706,-3.30454868466295,0.46067903861541387,50
IUP_Eurasia_45ka,PD_Russian,D_VA,-0.010543161903223283,0.005044817066111714,-2.089899745631294,0.008971934855585843,50
IUP_Eurasia_45ka,PD_Russian,R,-0.6812108024521277,0.21394134196463038,-3.18410082033022,0.41852022776172004,50
IUP_Eurasia_45ka,PD_Han,D_VA,-0.010506932362915583,0.0063134846531924214,-1.664204942290109,0.010501484442469664,50
IUP_Eurasia_45ka,PD_Han,R,-0.6202995410962713,0.2794097186982827,-2.2200356665692595,0.4613339259284924,50
IUP_Eurasia_45ka,PD_Japanese,D_VA,-0.010015569725381451,0.006639928997871221,-1.508385063845181,0.010475914663508529,50
IUP_Eurasia_45ka,PD_Japanese,R,-0.7313088893262758,0.2950984860404495,-2.478185839374433,0.4715620828416698,50
IUP_Eurasia_45ka,PD_Dai,D_VA,-0.005217272061423722,0.007766775485028675,-0.6717423558181378,0.010787636531977916,50
IUP_Eurasia_45ka,PD_Dai,R,-0.5538497535398144,0.30224421896393927,-1.8324577238841881,0.4832129344795926,50
IUP_Eurasia_45ka,PD_Papuan,D_VA,0.0011757119367502011,0.009518054763471532,0.12352439295289179,0.011681894312887634,50
IUP_Eurasia_45ka,PD_Papuan,R,0.041906269084472925,0.308169336867719,0.13598455157938408,0.4151493777952733,50
IUP_Eurasia_45ka,PD_Karitiana,D_VA,-0.025915913903699087,0.008207237641183654,-3.157690204272125,0.011005490436162474,50
IUP_Eurasia_45ka,PD_Karitiana,R,-0.95555189174703,0.36816188358484236,-2.5954666529915897,0.5342124086100128,50
IUP_Eurasia_45ka,PD_Mixe,D_VA,-0.01844974529500326,0.007573180437914364,-2.4361951291476527,0.011363281748373588,50
IUP_Eurasia_45ka,PD_Mixe,R,-1.0068031993814166,0.37189497151514794,-2.7072245566525703,0.5533660329923986,50
IUP_Eurasia_45ka,PD_Mbuti,D_VA,0.08581736126117419,0.008428866397980676,10.18136451679121,0.008561568158786122,50
IUP_Eurasia_45ka,PD_Mbuti,R,-77.35524143558223,2174.8948969855933,-0.035567346975155754,2174.873581383285,50
IUP_Eurasia_45ka,PD_Biaka,D_VA,0.07557335009970666,0.0074339562546788755,10.165966480114994,0.008181263077324632,50
IUP_Eurasia_45ka,PD_Biaka,R,33.94711870843154,474.95463542942184,0.07147444445455059,474.9527100264882,50
IUP_Eurasia_45ka,PD_Juhoan,D_VA,0.08388942691439916,0.010366756934858527,8.09215721382629,0.009738915484920316,50
IUP_Eurasia_45ka,PD_Juhoan,R,3.197625746645901,0.6993153911734296,4.572508752138837,0.6901984375969875,50
IUP_Eurasia_45ka,PD_Mandenka,D_VA,0.061159616763693345,0.006641848462316994,9.208222245762883,0.007472433001102239,50
IUP_Eurasia_45ka,PD_Mandenka,R,-1.13499419045144,2.776145670675283,-0.4088381249011903,2.834909471770843,50
IUP_Eurasia_45ka,PD_Mende,D_VA,0.06461327235325849,0.0069691916511214515,9.27127213424547,0.007057664341733216,50
IUP_Eurasia_45ka,PD_Mende,R,-6.691640075086396,98.07049630056177,-0.06823295820363932,98.11226897921458,50
IUP_Eurasia_45ka,PD_Esan,D_VA,0.0664330627191964,0.006929743282326687,9.586655668561974,0.006992697745827105,50
IUP_Eurasia_45ka,PD_Esan,R,3.8351129768186807,3.3930450168134105,1.1302865001244338,3.404455472198596,50
IUP_Eurasia_45ka,PD_Gambian,D_VA,0.06264755322178539,0.006731893172532666,9.306082496584864,0.0070618682043954275,50
IUP_Eurasia_45ka,PD_Gambian,R,0.2270071009221566,1.325147955705746,0.17130698496324312,1.341581167567161,50
IUP_Eurasia_45ka,PD_Luhya,D_VA,0.06161002555274852,0.005943586109356543,10.365800111108085,0.007365393188365191,50
IUP_Eurasia_45ka,PD_Luhya,R,-1.6740100909292008,3.595955751230463,-0.4655257758264652,3.675258345501973,50
UP_Europe_pre_LGM,UP_Europe_post_LGM,D_VA,-0.008142364876938105,0.0067465472581376374,-1.206893625048997,0.010294384130416166,50
UP_Europe_pre_LGM,UP_Europe_post_LGM,R,-0.2989496390495985,0.2509070103332812,-1.1914758326301922,0.4382201838805093,50
UP_Europe_pre_LGM,UP_NorthEastAsia,D_VA,-0.0009416902949121175,0.006005663917667227,-0.15680036509234055,0.010034594053888122,50
UP_Europe_pre_LGM,UP_NorthEastAsia,R,-0.4009291855393138,0.2576195485350158,-1.5562840157870212,0.521067365707529,50
UP_Europe_pre_LGM,Oase1_40ka,D_VA,-0.0010959139452719896,0.046090243301851644,-0.02377756910708176,0.047357808441345274,50
UP_Europe_pre_LGM,Oase1_40ka,R,1.2314002963846178,0.4967044383895007,2.479140916029002,0.5106474887137809,50
UP_Europe_pre_LGM,UstIshim_44ka,D_VA,0.016287568600424275,0.011675667368893045,1.3950010809504998,0.01416437930160276,50
UP_Europe_pre_LGM,UstIshim_44ka,R,0.12197152700027458,0.45797593947530385,0.26632736894435005,0.5759421528698078,50
UP_Europe_pre_LGM,Caucasus_Bronze,D_VA,0.0014155003943825684,0.005617061293259505,0.2520001688571877,0.009373218573799167,50
UP_Europe_pre_LGM,Caucasus_Bronze,R,-0.5017166969415743,0.215647661223536,-2.3265575619737646,0.45719010028690604,50
UP_Europe_pre_LGM,Caucasus_Iron_Classical,D_VA,0.003857374517645021,0.005877026664381773,0.6563479694626828,0.009425835440571332,50
UP_Europe_pre_LGM,Caucasus_Iron_Classical,R,-0.4060133220411455,0.22666041639777257,-1.7912846384638312,0.44155092951578095,50
UP_Europe_pre_LGM,Caucasus_Medieval_Recent,D_VA,0.0005837144929392857,0.0064692014130854035,0.0902297603161022,0.00939025648443917,50
UP_Europe_pre_LGM,Caucasus_Medieval_Recent,R,-0.4782257345137677,0.2329378080311669,-2.053018951950391,0.447225739702116,50
UP_Europe_pre_LGM,Caucasus_Neolithic,D_VA,0.002854309370384639,0.005950145270645586,0.479704148479546,0.009643593267775235,50
UP_Europe_pre_LGM,Caucasus_Neolithic,R,-0.45548820906781984,0.20655737785264275,-2.2051413210365376,0.448369949816895,50
UP_Europe_pre_LGM,CentralAsia_Bronze,D_VA,0.0047609302678267434,0.006182346534496078,0.7700846662770913,0.009469025049328445,50
UP_Europe_pre_LGM,CentralAsia_Bronze,R,-0.3366964776437773,0.23570195761751847,-1.4284840102607297,0.4264742935169741,50
UP_Europe_pre_LGM,CentralAsia_Iron_Classical,D_VA,0.0009778015117427319,0.005388936560235796,0.18144609809619797,0.00930781627862338,50
UP_Europe_pre_LGM,CentralAsia_Iron_Classical,R,-0.5118908121734798,0.2210083435867948,-2.316160575052901,0.4550571754328808,50
UP_Europe_pre_LGM,CentralAsia_Medieval_Recent,D_VA,0.0030292522457281423,0.005562504350536675,0.5445842474596677,0.009314964266513227,50
UP_Europe_pre_LGM,CentralAsia_Medieval_Recent,R,-0.46251598413965267,0.17587437644483217,-2.6298088072240215,0.45055383477412286,50
UP_Europe_pre_LGM,CentralAsia_Neolithic,D_VA,0.009825888371925606,0.006419077436318897,1.5307321759870198,0.009901999333452793,50
UP_Europe_pre_LGM,CentralAsia_Neolithic,R,-0.571996630204362,0.2693341361412167,-2.12374353433036,0.4998308023542883,50
UP_Europe_pre_LGM,EastAsia_Bronze,D_VA,-0.0018098026912999332,0.006196596337232949,-0.2920639965565498,0.01062688510985646,50
UP_Europe_pre_LGM,EastAsia_Bronze,R,-0.37578576555003496,0.2561020179985962,-1.4673284048550324,0.46174214407455205,50
UP_Europe_pre_LGM,EastAsia_Iron_Classical,D_VA,-0.002622623558987125,0.0058877898164149955,-0.4454343040023818,0.010380775980505911,50
UP_Europe_pre_LGM,EastAsia_Iron_Classical,R,-0.3654238310897262,0.23489724701112505,-1.5556752398737956,0.46075659498744626,50
UP_Europe_pre_LGM,EastAsia_LateGlacial_Meso,D_VA,0.0016467131382076061,0.006515095047280818,0.2527535095431783,0.010964761808851071,50
UP_Europe_pre_LGM,EastAsia_LateGlacial_Meso,R,-0.28078269105644926,0.28828001335764714,-0.9739929167690979,0.48050309626166715,50
