target,model,fit,date_bp,n,n_snp,p,feasible,WHG_pct,WHG_se,EHG_pct,EHG_se,CHG_pct,CHG_se,Anatolia_N_pct,Anatolia_N_se,Iran_N_pct,Iran_N_se,Steppe_Yamnaya_pct,Steppe_Yamnaya_se
BellBeaker,deep5,constrained,4200.0,48,475900,3.486217279386808e-13,True,8.998997575960743,1.5192431011937089,33.49172146647999,0.41840114036036413,1.756993590283329,0.5714642751887264,51.017837347527006,0.5237181732508673,4.734450019748922,0.6965851505590804,,
BellBeaker,west4,free,4200.0,48,475899,0.0009288499797751852,False,7.067522778532818,1.622763716833343,,,,,38.28028804704127,1.1032973738923488,-4.1443795949513875,1.2831861029903098,58.7965687693773,1.905014869176279
BellBeaker,west4,constrained,4200.0,48,475899,4.81184423667962e-08,True,9.584702573794285,0.4044452889630519,,,,,34.19790398686293,0.8305675037533911,8.470329472543006e-20,2.359803995733585e-19,56.21739343934278,0.4293958615815188
CentralEuro_BA,deep4,free,3912.0,47,475893,1.6370052673671649e-12,True,5.947281216605638,2.2252849363180913,29.875745531081115,1.6613983549221807,10.607450131682683,1.643415678387648,53.569523120630556,2.1181808323158395,,,,
CentralEuro_BA,deep4,constrained,3912.0,47,475893,1.6370052673671649e-12,True,5.947281216605638,0.27036955083725633,29.875745531081115,0.6772835049296171,10.607450131682683,0.3855773424604637,53.569523120630556,0.5652548540164527,,,,
CentralEuro_BA,west3,free,3912.0,47,475892,1.9841345449460264e-14,True,13.779341189068292,1.3824770405872688,,,,,39.13814602929079,1.2489049201832196,,,47.082512781640915,1.759652026396377
CentralEuro_BA,west3,constrained,3912.0,47,475892,1.9841345449460264e-14,True,13.779341189068292,0.44645425877209755,,,,,39.13814602929079,1.0233967312937293,,,47.082512781640915,0.584782621967099
CentralEuro_BA,hg3,free,3912.0,47,475893,2.4941364502865448e-55,True,43.717875587412,2.499608187106765,9.702877979806876,2.1168947918075176,46.579246432781126,2.2545992035447826,,,,,,
CentralEuro_BA,hg3,constrained,3912.0,47,475893,2.4941364502865448e-55,True,43.717875587412,0.8511916160906743,9.702877979806876,1.6228761643889404,46.579246432781126,1.3975820770264442,,,,,,
CentralEuro_BA,deep5,free,3912.0,47,475893,0.13284165287907104,False,25.859383638153744,12.117579143166127,32.28483120086387,4.10949418381836,-91.83696170184372,71.93762373492213,71.01842469386439,12.225730152732114,62.674322168961716,47.28926557086247,,
CentralEuro_BA,deep5,constrained,3912.0,47,475893,6.003573921987539e-09,True,11.146038601860331,1.1159739863873472,28.80786383773443,0.44096995181713283,1.4956194129279818,0.48422389858545867,55.52436380875607,0.4827022685895626,3.0261143387211837,0.5652360007370815,,
CentralEuro_BA,west4,free,3912.0,47,475892,0.0001808554713265498,False,10.614454554811209,1.854927507604693,,,,,44.091594294656,1.3760652513034457,-5.023478603804356,1.5684527506295727,50.31742975433714,2.291856913727652
CentralEuro_BA,west4,constrained,3912.0,47,475892,1.6219637458241133e-09,True,13.664376539845152,0.46804248683993965,,,,,39.143683484344315,1.0050633898924304,0.0,3.288452015543025e-19,47.19193997581053,0.5400817269775627
Steppe_MLBA,west3,free,3825.0,48,475868,8.21421608080082e-18,True,4.452752575534282,1.6674763990580508,,,,,9.669235917609276,1.3616669533068206,,,85.87801150685644,1.7682588046031071
Steppe_MLBA,west3,constrained,3825.0,48,475868,8.21421608080082e-18,True,4.452752575534282,0.5511516240679016,,,,,9.669235917609276,1.1520876466682857,,,85.87801150685644,0.6098540624571965
Steppe_MLBA,west4,free,3825.0,48,475868,2.556381035984303e-19,True,1.8037765995214534,2.0775574558976415,,,,,8.378403840236192,1.3387731648443117,1.4847059179708046,1.6446210023452732,88.33311364227154,2.4205765270943065
Steppe_MLBA,west4,constrained,3825.0,48,475868,2.556381035984303e-19,True,1.8037765995214534,0.660571142879515,,,,,8.378403840236192,1.0783352429563675,1.4847059179708046,0.34808513914146855,88.33311364227154,0.6768995551984482
Steppe_MLBA,hg3,free,3825.0,48,475869,2.1241241525284973e-27,True,10.502428451742063,2.45143154186007,45.41802498379249,2.0468189016610623,44.079546564465446,2.1750114691963605,,,,,,
Steppe_MLBA,hg3,constrained,3825.0,48,475869,2.1241241525284973e-27,True,10.502428451742063,1.42144299959129,45.41802498379249,1.5576518540646693,44.079546564465446,1.68807430270414,,,,,,
Steppe_MLBA,deep5,free,3825.0,48,475869,0.008595067896585776,False,16.515902014063187,23.648917479483817,58.95908391366898,6.641662412865856,-107.63799573832019,152.00360007304718,48.52476245608331,25.495216040414093,83.6382473545047,98.638365363053,,
