target,model,sources,outgroups,n_snp,chi2,dof,p,status
Eurasia_Historic,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,1255.2143678138696,3,2.0783882403632118e-128,rejected
Eurasia_Historic,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,679.6694711101991,6,1.7091153510409949e-90,rejected
Africa_Late_Glacial,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,467434,2443.6323317356937,8,3.044176850880249e-262,rejected
Africa_Late_Glacial,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,467434,2800.9382103507323,6,2.456761191748807e-273,rejected
Africa_Late_Glacial,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,467434,1894.0957924770041,5,2.7050152838128114e-195,rejected
Africa_Late_Glacial,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,467434,1047.2578595250784,3,4.191334547660294e-112,rejected
Africa_Late_Glacial,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,467434,2397.3958765183015,6,5.601519534068461e-243,rejected
Africa_Early_Holocene,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,9028.232154398453,8,0.0,rejected
Africa_Early_Holocene,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,7882.51216081409,6,0.0,rejected
Africa_Early_Holocene,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,9700.396550291292,5,0.0,rejected
Africa_Early_Holocene,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,6747.8155889681575,3,0.0,rejected
Africa_Early_Holocene,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,9321.89500055997,6,0.0,rejected
