"target","full_model","pattern","dropped","dof","chi2","p","feasible"
"ItalyBA","Anatolia_N+Yamnaya+WHG","101","101",6,3073.07238977435,0,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG","110","110",6,616.331119750903,6.99446657391019e-130,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0000","0000",3,39.9928571987019,1.06923016770729e-08,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0001","0001",4,40.578977233254,3.28512790107298e-08,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0010","0010",4,46.3713917392248,2.06128865102682e-09,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0100","0100",4,42.7687174026935,1.15567488032501e-08,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1000","1000",4,56.021370408015,1.98459534386216e-11,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0011","0011",5,56.7624344533021,5.66042495344701e-11,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0101","0101",5,43.2096363167131,3.35062824777653e-08,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0110","0110",5,108.637411841853,7.95079356951566e-22,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1001","1001",5,76.6946383408862,4.11918916025535e-15,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1010","1010",5,275.635121229562,1.72437913719995e-57,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1100","1100",5,134.983393531247,2.08249400107977e-27,FALSE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","0111","0111",6,270.091513170556,2.07365536346018e-55,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1011","1011",6,3840.93852408189,0,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1101","1101",6,625.314631044462,8.06377503234513e-132,TRUE
"ItalyBA","Anatolia_N+Yamnaya+WHG+Iran_N","1110","1110",6,500.308408738461,7.21551297995227e-105,TRUE
