genetic_id,group_id,locality,country,lat,lon,date_bp,date_sd,full_date,coverage,snps_hit,mol_sex,assessment,angsd_contam,hapconx_contam,damage,y_hap,mt_hap,flags
I7132.AG,Romania_C_Bodrogkeresztur,"Urziceni (Satu Mare County, Urziceni)",Romania,47.7467,22.395,6086.0,60.0,"4239-4046 calBCE (5300±25 BP, PSUAMS-4229)",3.86452658,864004.0,F,Pass,n/a (female),n/a (female),0.116,n/a (female),..,
I7133.AG,Romania_C_Bodrogkeresztur,"Urziceni (Satu Mare County, Urziceni)",Romania,47.7467,22.395,6078.0,64.0,"4235-3996 calBCE (5285±25 BP, PSUAMS-4023)",5.28660683,907976.0,F,Pass,n/a (female),n/a (female),0.112,n/a (female),..,
I7134.AG,Romania_C_Bodrogkeresztur,"Urziceni (Satu Mare County, Urziceni)",Romania,47.7467,22.395,5569.0,44.0,"3702-3532 calBCE (4850±25 BP, PSUAMS-4403)",5.07700938,902814.0,M,Pass,"[0.004,0.009]","[0.005,0.007]",0.085,H,..,
I7135.AG,Romania_C_Bodrogkeresztur,"Urziceni (Satu Mare County, Urziceni)",Romania,47.7467,22.395,5900.0,260.0,4400-3500 BCE,4.96539923,892965.0,M,Pass,"[0.002,0.006]","[0.002,0.004]",0.064,I-Z161,..,
I7136.AG,Romania_C_Bodrogkeresztur,"Urziceni (Satu Mare County, Urziceni)",Romania,47.7467,22.395,6074.0,66.0,"4233-3994 calBCE (5280±25 BP, PSUAMS-4342)",5.30051215,909992.0,M,Pass,"[0.004,0.009]","[0.005,0.007]",0.094,C-BY36620,..,
I7137.AG,Romania_C_Bodrogkeresztur,"Urziceni (Satu Mare County, Urziceni)",Romania,47.7467,22.395,5972.0,45.0,"4157-3966 calBCE (5215±25 BP, PSUAMS-4230)",4.92236662,889207.0,M,Pass,"[0.004,0.008]","[0.004,0.006]",0.073,I-Y3104,..,
I7152.AG,Romania_BA1-1,"Târgșoru-Vechi (Prahova County, Târgșoru Vechi)",Romania,44.888978,25.9266,4462.0,40.0,"2574-2459 calBCE (3980±25 BP, PSUAMS-3996)",0.17892232,173259.0,F,Pass,n/a (female),n/a (female),0.136,n/a (female),U4a,low_power
I7182.AG,Israel_MLBA,"Yehud (Central District, Petah Tiqwa)",Israel,32.032436,34.890611,3725.0,130.0,2000-1550 BCE,0.06212983,61075.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.114,J-M102,T1a2,low_power
I7186.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5713.0,63.0,"3933-3655 calBCE (4990±25 BP, PSUAMS-4231)",4.41149135,880823.0,F,Pass,n/a (female),n/a (female),0.079,n/a (female),T2c1d1,
I7187.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,6044.0,74.0,"4227-3986 calBCE (5260±20 BP, PSUAMS-4404)",4.3244797,866908.0,M,Pass,"[0.004,0.009]","[0.005,0.008]",0.088,I-Y52134,T2c1d+152,
I7188.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5610.0,24.0,"3705-3635 calBCE (4880±20 BP, PSUAMS-4232)",4.49150516,876298.0,F,Pass,n/a (female),n/a (female),0.104,n/a (female),N1a1a,
I7189.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5526.0,40.0,"3634-3522 calBCE (4765±20 BP, PSUAMS-4233)",4.48525645,868295.0,F,Questionable,n/a (female),n/a (female),0.074,n/a (female),W5,questionable
I7191.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5657.0,39.0,"3774-3650 calBCE (4945±25 BP, PSUAMS-3997)",4.70523944,888795.0,F,Pass,n/a (female),n/a (female),0.071,n/a (female),U5b3,
I7192.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5552.0,45.0,"3654-3530 calBCE (4840±25 BP, PSUAMS-3879)",4.49542298,879603.0,M,Pass,"[0.003,0.008]","[0.004,0.006]",0.1,G-FGC34725,J1c1,
I7193.AG,Czechia_C_Baalberge-1,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5621.0,27.0,"3710-3635 calBCE (4890±25 BP, PSUAMS-4234)",4.16939457,855481.0,F,Pass,n/a (female),n/a (female),0.094,n/a (female),R1b1,
I7194.AG,Czechia_C_Baalberge,"Makotřasy (Central Bohemian Region, Kladno District)",Czechia,50.145766,14.221421,5527.0,37.0,"3633-3524 calBCE (4770±20 BP, PSUAMS-4235)",4.38837463,871361.0,F,Pass,n/a (female),n/a (female),0.071,n/a (female),K1a3a,
I7195.AG,Czechia_EBA,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,4250.0,289.0,2800-1800 BCE,2.45615349,701582.0,F,Pass,n/a (female),n/a (female),0.096,n/a (female),H3v+16093,
I7196.AG,Czechia_EBA,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,4250.0,289.0,2800-1800 BCE,2.56534065,720837.0,M,Pass,"[0.001,0.006]","[0.003,0.006]",0.115,R-CTS10465,K1a+195,
I7197.AG,Czechia_MN,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,6438.0,35.0,"4549-4401 calBCE (5660±25 BP, PSUAMS-4344)",3.04196885,737648.0,M,Pass,"[0.002,0.007]","[0.004,0.007]",0.103,I-BY33169,X2b+226,
I7198.AG,Czechia_EBA,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,4026.0,48.0,"2193-1977 calBCE (3685±25 BP, PSUAMS-3885)",4.1433586,780486.0,F,Pass,n/a (female),n/a (female),0.094,n/a (female),U5b2c,
I7199.AG,Czechia_EBA,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,4039.0,47.0,"2197-1983 calBCE (3700±25 BP, PSUAMS-3886)",4.23847271,786182.0,M,Pass,"[0.004,0.009]","[0.005,0.008]",0.093,I-PF3885,J1c3a,
I7200.AG,Czechia_EBA,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,4250.0,289.0,2800-1800 BCE,3.86055835,749762.0,F,Pass,n/a (female),n/a (female),0.12,n/a (female),R1b1,
I7201.AG,Czechia_EBA,"Praha-Zahradnictví (Prague Region, Prague Distric, Prague-5)",Czechia,50.0504153,14.3667267,4250.0,289.0,2800-1800 BCE,2.02081278,704591.0,F,Pass,n/a (female),n/a (female),0.152,n/a (female),U5a1a2b,
I7202.AG,Czechia_EBA,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",Czechia,50.0504154,14.3667267,4250.0,289.0,2800-1800 BCE,0.96919538,556428.0,M,Pass,"[0.001,0.015]","[0.004,0.011]",0.136,R-S42,U5a1a2b,
I7203.AG,Czechia_EBA,"Praha-Jinonice-Butovická (Prague Region, Prague District, Prague-5)",Czechia,50.0504154,14.3667267,4250.0,289.0,2800-1800 BCE,0.07565709,77908.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.112,R-M417,H1,low_power
I7205.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4200.0,144.0,2500-2000 BCE,3.87587245,769240.0,M,Pass,"[0.004,0.009]","[0.004,0.007]",0.109,R-Z209,H10+(16093),
I7207.AG,Czechia_EBA_CordedWare,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4370.0,55.0,"2561-2306 calBCE (3935±25 BP, PSUAMS-3887)",2.06054201,788324.0,M,Pass,"[0.003,0.01]","[0.004,0.009]",0.119,R-M417,W3a1,
I7208.AG,Czechia_EBA_CordedWare,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4324.0,55.0,"2464-2290 calBCE (3885±25 BP, PSUAMS-3888)",2.17744054,809463.0,M,Pass,"[0.003,0.009]","[0.004,0.009]",0.135,R-M417,U5a1b,
I7209.AG,Czechia_EBA_CordedWare,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4269.0,68.0,"2456-2204 calBCE (3850±25 BP, PSUAMS-4026)",4.48733182,862851.0,M,Pass,"[0.003,0.008]","[0.003,0.006]",0.102,R-M417,J1c2,
I7210.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4071.0,54.0,"2201-2037 calBCE (3730±20 BP, PSUAMS-4236)",3.88565223,745618.0,M,Pass,"[0.001,0.005]","[0.004,0.007]",0.101,R-L2,H6a1b4,
I7211.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4183.0,44.0,"2296-2143 calBCE (3800±20 BP, PSUAMS-4345)",4.40970887,766197.0,F,Pass,n/a (female),n/a (female),0.081,n/a (female),U5b3,
I7212.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4247.0,66.0,"2454-2201 calBCE (3840±25 BP, PSUAMS-4346)",3.88365421,744909.0,M,Pass,"[0,0.003]","[0.002,0.005]",0.077,R-L2,K1b1a1+199,
I7213.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4231.0,58.0,"2440-2201 calBCE (3835±20 BP, PSUAMS-4347)",3.83698884,751493.0,F,Pass,n/a (female),n/a (female),0.083,n/a (female),HV+16311,
I7214.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4300.0,87.0,2500-2200 BCE,4.11016487,763940.0,F,Pass,n/a (female),n/a (female),0.098,n/a (female),U8b1b1,
I7217.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2430.0,0.0,480 BCE,1.48000024,705273.0,M,Pass,"[0.002,0.011]","[0.002,0.007]",0.124,LT,H5,
I7218.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2430.0,0.0,480 BCE,2.06254003,772645.0,M,Pass,"[0.002,0.008]","[0.003,0.007]",0.119,T-S27463,H5+709,
I7219.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2430.0,0.0,480 BCE,3.68992881,822460.0,M,Pass,"[0.003,0.008]","[0.004,0.007]",0.128,G-P303,J1c2,
I7221.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2430.0,0.0,480 BCE,3.86879464,851803.0,M,Pass,"[0.006,0.011]","[0.007,0.011]",0.122,G-Y216605,K1a4j1,
I7223.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2359.0,0.0,409 BCE,3.53463337,833363.0,M,Pass,"[0.005,0.011]","[0.006,0.01]",0.141,J-FGC45722,U5a1g1,
I7224.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2359.0,0.0,409 BCE,3.68325687,841405.0,M,Pass,"[0.005,0.01]","[0.006,0.009]",0.142,T-FT39851,U1a1a,
I7225.AG,Italy_Sicily_Himera_IA_b_Greek,"Himera (Sicily, Palermo, Termini Imerese)",Italy,37.972296,13.824736,2359.0,0.0,409 BCE,3.09019076,833142.0,M,Pass,"[0.004,0.01]","[0.008,0.012]",0.121,R-L2,K1a4,
I7231.AG,NorthMacedonia_BA,"Dimov Grob (Gradsko, Ulanci)",North Macedonia,41.589371,21.943575,3169.0,55.0,"1371-1123 calBCE (2990±25 BP, PSUAMS-6151)",3.90926955,851936.0,M,Pass,"[0.004,0.009]","[0.007,0.01]",0.127,R-CTS7556,T2b,
I7233.AG,NorthMacedonia_IA,"Vodovrati (Gradsko, Vodovrati-Veles)",North Macedonia,41.58,21.87,2800.0,29.0,"900-809 calBCE (2700±20 BP, PSUAMS-4238)",4.51199029,870920.0,F,Pass,n/a (female),n/a (female),0.13,n/a (female),H35,
I7249.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4011.0,50.0,"2138-1973 calBCE (3670±20 BP, PSUAMS-4499)",4.43533289,776719.0,M,Pass,"[0.002,0.005]","[0.004,0.007]",0.054,R-L2,I2,
I7250.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,0.17097196,164410.0,F,Questionable,n/a (female),n/a (female),0.097,n/a (female),R1a1a,low_power;questionable
I7251.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,3.80629633,754381.0,M,Pass,"[0.003,0.007]","[0.004,0.006]",0.073,R-L2,U2e1h,
I7261.AG,Italy_Sicily_IA_b_IA_c_Punic,"Lilybaeum-Via Gramsci (Sicily, Trapani, Marsala)",Italy,37.804301,12.4371,2300.0,87.0,500-200 BCE,0.49126355,410883.0,M,Pass,"[0,0.011]","[0,0.004]",0.108,G-Z1903,T2b32,
I7263.AG,Italy_Sicily_IA_b_IA_c_Punic,"Lilybaeum-Via Gramsci (Sicily, Trapani, Marsala)",Italy,37.804301,12.4371,2300.0,87.0,500-200 BCE,0.13580889,141750.0,F,Pass,n/a (female),n/a (female),0.064,n/a (female),U3a2a,low_power
I7265.AG,Italy_Sicily_ImperialRoman_Sicilia,"Lilybaeum-Via De Gasperi (Sicily, Trapani, Marsala)",Italy,37.8043,12.4371,1732.0,34.0,"129-310 calCE (1830±20 BP, PSUAMS-5508)",0.59169644,447721.0,M,Pass,"[0,0.013]","[0,0.009]",,J-Y169874,R0a,
I7269.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,1.89851291,704797.0,M,Pass,"[0.004,0.012]","[0.005,0.01]",0.079,R-L2,T2e,
I7270.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,0.0413266,43383.0,F,Pass,n/a (female),n/a (female),0.092,n/a (female),K1a2c,low_power
I7271.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4325.0,72.0,2500-2250 BCE,0.22416935,199753.0,M,Pass,n/a (<200 SNPs),"[0.007,0.039]",0.134,R-L2,U4a,low_power
I7272.AG,Czechia_Eneolithic,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,5417.0,74.0,"3624-3376 calBCE (4715±20 BP, PSUAMS-4239)",3.99369742,771675.0,M,Pass,"[0.003,0.007]","[0.002,0.005]",0.07,I-Y52134,K2a5,
I7275.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,2.63648112,708851.0,M,Pass,"[0.005,0.012]","[0.007,0.011]",0.104,R-L2,U5b2c,
I7276.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,3.60353247,763318.0,M,Pass,"[0.002,0.006]","[0.003,0.006]",0.054,R-L2,H5b,
I7278.AG,Czechia_BA_BellBeaker,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4333.0,49.0,"2462-2298 calBCE (3890±20 BP, PSUAMS-4349)",3.90604699,792748.0,M,Pass,"[0.005,0.011]","[0.005,0.008]",0.08,R-CTS3409,U4a,
I7279.AG,Czechia_EBA_CordedWare,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,1.2225911,642931.0,M,Pass,"[0.001,0.011]","[0.006,0.013]",0.101,R-M417,H7d,
I7280.AG,Czechia_EBA_CordedWare,"Brandýsek (Central Bohemian Region, Kladno District)",Czechia,50.19,14.158,4200.0,144.0,2500-2000 BCE,3.68224265,778597.0,M,Pass,"[0.004,0.008]","[0.003,0.006]",0.062,R-M417,W5a,
I7281.AG,Czechia_BellBeaker,"Praha-Stodůlky-Malá-Ohrada (Prague Region, Prague District, Prague-5)",Czechia,50.044984,14.339296,4194.0,43.0,"2340-2146 calBCE (3810±20 BP, PSUAMS-4350)",3.84128384,758184.0,F,Pass,n/a (female),n/a (female),0.091,n/a (female),H5a1g,
I7282.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4200.0,144.0,2500-2000 BCE,3.46675891,782446.0,M,Pass,"[0.005,0.01]","[0.005,0.008]",0.083,R-L2,K1a3a3,
I7283.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4200.0,144.0,2500-2000 BCE,3.40302475,754318.0,F,Pass,n/a (female),n/a (female),0.107,n/a (female),K1a3a3,
I7286.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4221.0,54.0,"2403-2199 calBCE (3830±20 BP, PSUAMS-4352)",4.47034126,795455.0,M,Pass,"[0.002,0.005]","[0.004,0.006]",0.081,R-FGC30516,I4a,
I7287.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4200.0,144.0,2500-2000 BCE,1.26774775,641941.0,M,Pass,"[0.004,0.014]","[0.004,0.01]",0.157,R-L2,K1a4a1,
I7288.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4200.0,144.0,2500-2000 BCE,0.09194283,94303.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.156,R-P297,H1m,low_power
I7289.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4289.0,62.0,"2456-2209 calBCE (3860±20 BP, PSUAMS-4353)",3.50466132,765723.0,M,Pass,"[0.003,0.008]","[0.005,0.008]",0.107,R-CTS6554,U8b1b1,
I7290.AG,Czechia_BellBeaker,"Radovesice (Ústecký Region, Litoměřice District)",Czechia,50.410265,14.074597,4200.0,144.0,2500-2000 BCE,3.8911457,809121.0,F,Pass,n/a (female),n/a (female),0.087,n/a (female),V3,
I7335.AG,Russia_Irkutsk_N_Angara,"Ust'-Belaya (Irkutsk Oblast, Usolskiy District, Belaya River Mouth of the)",Russia,52.9169,103.657,4465.0,32.0,"2570-2460 calBCE (3995±20 BP, PSUAMS-5326)",1.39079503,718683.0,M,Pass,"[0.002,0.011]","[0.003,0.007]",0.032,Q-YP1102,C4a1a3,
NIK007.AG,Russia_Yaroslav_EMBA,"Nikultsino (Yaroslav Oblast, Yaroslavsky District)",Russia,57.5292637,39.6699406,4540.0,74.0,"2841-2488 calBCE (4062±23 BP) [R_Combine: (4065±25 BP, PSUAMS-3889), (4047±54 BP, UBA-41630)]",0.93210642,621009.0,F,Pass,n/a (female),n/a (female),0.022,n/a (female),U5a1b,
TIM008.AG,Russia_Ivanovo_BA,"Timofeyevka (Ivanovo Oblast, Ilyinsky District, Timofeyevka Village)",Russia,57.1344739,39.9757137,4473.0,32.0,"2574-2470 calBCE (4008±20 BP) [R_Combine: (3990±25 BP, PSUAMS-4112), (4036±32 BP, UBA-41637)]",1.10600458,651018.0,M,Pass,"[0,0.006]","[0.004,0.01]",0.067,R-Z93,K1,
TIM005.AG,Russia_Ivanovo_EMBA,"Timofeyevka (Ivanovo Oblast, Ilyinsky District, Timofeyevka Village)",Russia,57.1344739,39.9757137,4692.0,74.0,"2871-2626 calBCE (4140±20 BP, PSUAMS-4840)",1.12204871,608620.0,F,Pass,n/a (female),n/a (female),0.024,n/a (female),T1a1,
I7399.AG,Croatia_MN_Sopot,"Vinkovci-Vinka (Vukovar-Syrmia County, Grad Vinkovci)",Croatia,45.300857,18.779447,7078.0,50.0,"5216-5045 calBCE (6190±25 BP, PSUAMS-4263)",3.36751666,809160.0,F,Pass,n/a (female),n/a (female),0.057,n/a (female),V1,
I7411.AG,Uzbekistan_BA1-1,"Dzharkutan (Surxondaryo Region, Sherabod District)",Uzbekistan,37.75,67.0,3542.0,39.0,"1681-1533 calBCE (3335±20 BP, PSUAMS-3227)",1.37972727,734847.0,F,Pass,n/a (female),n/a (female),0.14,n/a (female),T2c1a,
I7412.AG,Uzbekistan_BA3-3,"Dzharkutan (Surxondaryo Region, Sherabod District)",Uzbekistan,37.75,67.0,3642.0,41.0,"1748-1624 calBCE (3405±20 BP, PSUAMS-3228)",1.20880485,670810.0,F,Pass,n/a (female),n/a (female),0.17,n/a (female),H+16311,
I7414.AG,Uzbekistan_BA,"Sappali-Tepe (Surxondaryo Region, Muzrabot District)",Uzbekistan,37.416667,66.833333,3925.0,37.0,"2031-1900 calBCE (3615±20 BP, PSUAMS-3106)",3.82529099,927356.0,F,Pass,n/a (female),n/a (female),0.092,n/a (female),HV,
I7416.AG,Uzbekistan_BA,"Sappali-Tepe (Surxondaryo Region, Muzrabot District)",Uzbekistan,37.416667,66.833333,3824.0,49.0,"1949-1774 calBCE (3545±20 BP, PSUAMS-3117)",3.23130713,903435.0,F,Pass,n/a (female),n/a (female),0.114,n/a (female),U1a2,
I7419.AG,Uzbekistan_BA,"Sappali-Tepe (Surxondaryo Region, Muzrabot District)",Uzbekistan,37.416667,66.833333,3754.0,47.0,"1881-1700 calBCE (3475±20 BP, PSUAMS-3229)",2.87748981,867999.0,M,Pass,"[0.003,0.008]","[0.004,0.007]",0.126,R-Y101424,J1b,
I7420.AG,Uzbekistan_BA,"Sappali-Tepe (Surxondaryo Region, Muzrabot District)",Uzbekistan,37.416667,66.833333,3775.0,44.0,"1919-1747 calBCE (3510±25 BP, PSUAMS-13975)",2.40184889,895801.0,M,Pass,"[0.001,0.007]","[0.003,0.007]",0.097,G-Z36520,W3a1,
I7421.AG,Uzbekistan_BA,"Sappali-Tepe (Surxondaryo Region, Muzrabot District)",Uzbekistan,37.416667,66.833333,3790.0,49.0,"1935-1751 calBCE (3525±25 BP, PSUAMS-3120)",2.03344924,864578.0,M,Pass,"[0.001,0.007]","[0.004,0.007]",0.111,J-Y322279,J1b1b1,
I7423.AG,Spain_NazariPeriod_Muslim-o,"Nécropolis de Torna Alta (Andalusia, Granada, Lecrín, Mondújar)",Spain,36.950833,-3.547222,400.0,29.0,1500-1600 CE,0.09986103,105225.0,M,Pass,n/a (<200 SNPs),n/a (<2000 X SNPs),0.069,R-L151,H20c,low_power
I7424.AG,Spain_NazariPeriod_Muslim,"Nécropolis de Torna Alta (Andalusia, Granada, Lecrín, Mondújar)",Spain,36.950833,-3.547222,400.0,29.0,1500-1600 CE,0.84507391,552403.0,F,Pass,n/a (female),n/a (female),0.058,n/a (female),U5b1+16189+@16192,
I7425.AG,Spain_NazariPeriod_Muslim,"Nécropolis de Torna Alta (Andalusia, Granada, Lecrín, Mondújar)",Spain,36.950833,-3.547222,400.0,29.0,1500-1600 CE,1.77500936,723547.0,F,Pass,n/a (female),n/a (female),0.049,n/a (female),W6,
I7454.AG,Italy_Sicily_IA_c_Punic_IA_d,"Lilybaeum-Via De Gasperi (Sicily, Trapani, Marsala)",Italy,37.8043,12.4371,2160.0,80.0,"350-58 calBCE (2150±20 BP, PSUAMS-5510)",0.1673053,163807.0,F,Pass,n/a (female),n/a (female),0.088,n/a (female),H5a,low_power
I7457.AG,Spain_Medieval_Almohade_Islamic,"Casa Cuartel Guardia Civil (Andalusia, Granada, Alhama de Granada)",Spain,37.001061,-3.993031,750.0,58.0,1100-1300 CE,0.66176099,505255.0,M,Questionable,"[0.001,0.025]","[0.01,0.021]",0.022,E-V13,H3+152,questionable
I7479.AG,Russia_Samara_EBA_Yamnaya,"Grachevka-1 (Samara Oblast, Krasnoyarsky District, Grachevka Village)",Russia,53.58975,50.5712917,4775.0,58.0,"2899-2703 calBCE (4220±20 BP, PSUAMS-4264)",3.96242349,854716.0,F,Pass,n/a (female),n/a (female),0.06,n/a (female),H13a1a1,
I7480.AG,Russia_Chelyabinsk_MLBA_Sintashta,"Kamenny-Ambar-5 (Chelyabinsk Oblast, Kartalinsky District, Yuzhno-Stepnoe Village)",Russia,52.816667,60.466667,3825.0,101.0,2050-1700 BCE,4.14171951,870989.0,F,Pass,n/a (female),n/a (female),0.124,n/a (female),K2a5b,
I7483.AG,Russia_Chelyabinsk_EBA_Yamnaya,"Kiziliskiy (Chelyabinsk Oblast, Kizilsky District)",Russia,52.7021917,58.9198056,4721.0,61.0,"2881-2671 calBCE (4175±20 BP, PSUAMS-4266)",4.03329454,861789.0,M,Pass,"[0.002,0.006]","[0.004,0.007]",0.065,R-KMS67,J1b1a1,
I7484.AG,Russia_Chelyabinsk_EBA_Yamnaya,"Kiziliskiy (Chelyabinsk Oblast, Kizilsky District)",Russia,52.7021917,58.9198056,4721.0,61.0,"2881-2671 calBCE (4175±20 BP, PSUAMS-4267)",3.81165943,845922.0,F,Pass,n/a (female),n/a (female),0.072,n/a (female),T2a1a,
I7486.AG,Russia_Chelyabinsk_EBA_Yamnaya,"Kiziliskiy (Chelyabinsk Oblast, Kizilsky District)",Russia,52.7021917,58.9198056,4709.0,65.0,"2877-2635 calBCE (4160±20 BP, PSUAMS-4269)",3.60765105,838215.0,M,Pass,"[0.002,0.007]","[0.003,0.006]",0.076,R-KMS67,W3a1a,
I7487.AG,Russia_Chelyabinsk_EBA_Yamnaya,"Kiziliskiy (Chelyabinsk Oblast, Kizilsky District)",Russia,52.7021917,58.9198056,4726.0,62.0,"2887-2671 calBCE (4185±25 BP, PSUAMS-4270)",3.8498782,821239.0,M,Pass,"[0.003,0.008]","[0.004,0.007]",0.078,R-M12149,N1a1a1a1,
I7488.AG,Russia_Chelyabinsk_EBA_Yamnaya,"Kiziliskiy (Chelyabinsk Oblast, Kizilsky District)",Russia,52.7021917,58.9198056,4725.0,60.0,"2883-2673 calBCE (4180±20 BP, PSUAMS-4271)",4.39272961,866289.0,M,Pass,"[0.002,0.006]","[0.003,0.005]",0.052,R-KMS67,T1a1,
I7489.AG,Russia_Samara_EBA_Yamnaya,"Utyovka-5 (Samara Oblast, Neftegorsky District, Utyovka Village)",Russia,52.912778,50.990556,5047.0,105.0,"3326-2926 calBCE (4430±25 BP, PSUAMS-5790)",1.18634776,673115.0,F,Pass,n/a (female),n/a (female),0.138,n/a (female),H2a1e,
I7490.AG,Russia_Samara_EBA_Yamnaya,"Grachevka-2 (Samara Oblast, Krasnoyarsky District, Grachevka Village)",Russia,53.58975,50.571292,4984.0,80.0,"3282-2918 calBCE (4410±25 BP, PSUAMS-4272)",3.77227958,835591.0,F,Pass,n/a (female),n/a (female),0.11,n/a (female),J1b1a1,
I7492.AG,Uzbekistan_BA,"Sappali-Tepe (Surxondaryo Region, Muzrabot District)",Uzbekistan,37.416667,66.833333,3853.0,42.0,"2010-1779 calBCE (3560±20 BP, PSUAMS-3121)",3.16971179,905953.0,M,Pass,"[0.002,0.006]","[0.004,0.007]",0.119,R-Y3370,K1a,
