genetic_id,group_id,country,lat,lon,date_bp,data_type,alpha_Nea,alpha_adj,alpha_SE,alpha_nSNP,high_conf,expected_Nea,residual_Nea,z_resid,sigma_bio_local,se_expected,n_neighbors_eff,D_Nea_Z,D_Den_Z,flags
CL84.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.014787,0.01598736475678767,0.005515,360526,True,0.0207859477719692,-0.004798583015181528,-0.8661445075732151,0.0,0.0005274440318657744,76.57216966385906,2.65,-0.678,
CL87.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.018485,0.019685364756787675,0.005262,386315,True,0.021457672546554903,-0.001772307789767228,-0.3353862424424965,0.0,0.0004858088845468381,75.94241329933307,4.076,-0.59,
CL92.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.020118,0.021318364756787674,0.006164,333948,True,0.021275964603386596,4.240015340107803e-05,0.0068551725951437525,0.0,0.0005108548872149703,76.04568073689333,3.394,-0.396,
CL93.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.020462,0.021662364756787674,0.005909,348260,True,0.02044008976128793,0.001222274995499744,0.20600944063635576,0.0,0.0005342440321561924,77.71586288004539,3.705,0.244,
CL94.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,Italy,45.0792,7.5783,1350.0,AG,0.01842,0.019620364756787672,0.0061,385594,True,0.021294572549348165,-0.0016742077925604934,-0.27345475422175197,0.0,0.0005236011224044524,75.28513370576272,2.158,-0.867,
CL97.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,Italy,45.0792,7.5783,1350.0,AG,0.016309,0.017509364756787674,0.012574,41894,False,0.020626949800471174,-0.0031175850436835004,-0.24766130494408362,0.0,0.0005956192763675475,77.74495283250546,2.362,1.757,low_power
SZ12.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.015221,0.016421364756787675,0.007211,232077,True,0.021129603007633637,-0.004708238250845962,-0.6511089854781942,0.0,0.0005388659588141766,77.81034514394108,1.639,-0.514,
SZ13.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1462.0,AG,0.014458,0.015658364756787675,0.005502,363745,True,0.021704640057870633,-0.0060462753010829574,-1.093903057347475,0.0,0.000527716587532005,76.62264848254047,2.315,-0.434,
SZ14.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.01188,0.013080364756787673,0.007163,159819,False,0.021132096422027204,-0.008051731665239531,-1.1208606242147041,0.0,0.0005426598618135959,78.24633259992116,1.88,-0.176,
SZ16.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.011859,0.013059364756787673,0.005972,289870,True,0.02099069616545544,-0.007931331408667768,-1.325108269322152,0.0,0.0004006063922040621,76.45108728950875,2.01,-1.335,
SZ18.AG,Hungary_Lombards-2,Hungary,46.2833333,17.85,1425.0,AG,0.017337,0.018537364756787675,0.006584,320660,True,0.021511595946905743,-0.002974231190118068,-0.4501875532363954,0.0,0.0005465859800655572,76.04982770814004,2.252,-0.944,
SZ19.AG,Hungary_Lombards-1,Hungary,46.2833333,17.85,1456.0,AG,0.018351,0.019551364756787672,0.004774,338683,True,0.0210298299204155,-0.0014784651636278283,-0.30832200429664636,0.0,0.0004503899794581349,76.5691278321627,3.052,-1.124,
SZ22.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.019648,0.020848364756787672,0.006468,308028,True,0.02086236841733731,-1.4003660549637836e-05,-0.0021568630119404393,0.0,0.0005647136884288065,75.35009162100502,1.648,-1.068,
SZ23.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.025266,0.026466364756787673,0.006695,317243,True,0.02191493975269849,0.004551425004089182,0.6775276558663943,0.0,0.0005517409949223698,75.65424172246864,2.386,-0.709,
SZ24.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.013346,0.014546364756787673,0.007017,197908,False,0.021513133261857206,-0.006966768505069533,-0.9893774774363432,0.0,0.0005876962765572504,77.83452206536593,1.378,0.419,questionable
SZ25.AG,Hungary_Lombards,Hungary,46.2833333,17.85,1425.0,AG,0.02426,0.025460364756787673,0.00834,161840,False,0.02125009182211133,0.004210272934676344,0.5037039038299322,0.0,0.000557710927958095,78.62654111084292,2.682,-1.103,
SZ27.AG,Hungary_Lombards-2,Hungary,46.2833333,17.85,1467.0,AG,0.019508,0.020708364756787674,0.005465,389500,True,0.022024602815409574,-0.0013162380586218998,-0.23983760207563704,0.0,0.000502339066449123,76.60974982404339,3.952,-0.078,
