genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
CL151.AG,0.043218,0.010863,87012,0.050386,0.009686,5.202,136653,0.018646,0.014677,1.27,69886
CL23.AG,0.037547,0.00912,101323,0.034589,0.009541,3.625,159405,0.003997,0.011435,0.35,81485
CL25.AG,0.031092,0.011202,82938,0.033339,0.01054,3.163,130026,0.022355,0.012282,1.82,65948
CL30.AG,0.036367,0.009351,98633,0.040453,0.007719,5.241,155011,0.011678,0.012657,0.923,79334
CL36.AG,0.04532,0.009613,80382,0.042687,0.0092,4.64,126992,0.026159,0.011729,2.23,65927
CL38.AG,0.044134,0.009813,89374,0.043869,0.009368,4.683,140974,0.032813,0.012964,2.531,72786
CL47.AG,0.028478,0.008517,92820,0.031236,0.00856,3.649,145993,0.023734,0.012663,1.874,74961
CL49.AG,0.038959,0.014091,37872,0.03475,0.013511,2.572,59381,0.050499,0.021833,2.313,30596
CL53.AG,0.04199,0.011657,39804,0.041878,0.012185,3.437,61800,0.021839,0.017446,1.252,31349
CL57.AG,0.037186,0.00973,93463,0.042898,0.008162,5.256,146683,0.029056,0.01103,2.634,74747
CL63.AG,0.032542,0.008949,100834,0.038419,0.00933,4.118,158268,0.005787,0.011038,0.524,80726
CL83.AG,0.03643,0.011998,84701,0.033294,0.011933,2.79,132573,0.029683,0.013218,2.246,67218
CL84.AG,0.033045,0.01165,96474,0.03767,0.010802,3.487,151825,0.02021,0.01297,1.558,77782
CL87.AG,0.037079,0.009236,103426,0.041633,0.008744,4.761,162432,0.024052,0.01066,2.256,82991
CL92.AG,0.032613,0.009716,88874,0.030551,0.01025,2.981,139891,0.013626,0.011802,1.155,72101
CL93.AG,0.030942,0.010331,93029,0.028914,0.0105,2.754,146208,0.001844,0.01612,0.114,75130
CL94.AG,0.04313,0.009053,103219,0.042085,0.009499,4.43,162164,0.028887,0.01127,2.563,82389
CL97.AG,0.04183,0.026835,11294,0.026996,0.02417,1.117,17605,0.008572,0.029486,0.291,8874
SZ12.AG,0.027514,0.011761,60778,0.033047,0.010733,3.079,96181,0.008854,0.0155,0.571,50705
SZ13.AG,0.032193,0.009358,96894,0.031439,0.008487,3.704,152484,0.017379,0.012391,1.403,78718
SZ14.AG,0.035308,0.012489,41498,0.036601,0.013056,2.803,66026,0.005712,0.018778,0.304,35198
SZ16.AG,0.029568,0.01085,77100,0.030956,0.010136,3.054,121238,-0.005418,0.015308,-0.354,62542
SZ18.AG,0.02699,0.012389,85260,0.026441,0.012208,2.166,134198,0.010737,0.012776,0.84,69342
SZ19.AG,0.040183,0.009523,90056,0.037783,0.010522,3.591,142263,0.014665,0.012837,1.142,73989
SZ22.AG,0.038584,0.011015,81291,0.040637,0.010825,3.754,128514,0.016894,0.015153,1.115,66953
SZ23.AG,0.035655,0.009477,84526,0.033547,0.010127,3.313,133665,0.017451,0.01253,1.393,69322
SZ24.AG,0.040095,0.013292,51610,0.033685,0.012361,2.725,81989,0.009495,0.014049,0.676,43143
SZ25.AG,0.029627,0.014517,43014,0.021099,0.012314,1.713,67418,0.001074,0.01852,0.058,34523
SZ27.AG,0.032567,0.008725,104029,0.034293,0.009601,3.572,163842,0.011904,0.013461,0.884,83726
SZ28.AG,0.044272,0.009984,90205,0.042239,0.01065,3.966,142438,0.003134,0.012932,0.242,74038
SZ30.AG,0.033284,0.013979,54139,0.028303,0.012907,2.193,85136,0.016987,0.015784,1.076,44290
SZ31.AG,0.051222,0.023914,14732,0.043947,0.021242,2.069,23038,0.042462,0.032823,1.294,11966
SZ32.AG,0.031688,0.009149,92431,0.034965,0.009131,3.829,145784,0.002083,0.011818,0.176,75700
SZ37.AG,0.03124,0.01142,57148,0.02762,0.01059,2.608,90162,0.00431,0.014351,0.3,47239
SZ38.AG,0.035677,0.010688,86896,0.035569,0.009803,3.628,136985,0.008582,0.012003,0.715,71067
SZ40.AG,0.032665,0.0097,86773,0.033855,0.008919,3.796,136961,0.02262,0.013919,1.625,70917
SZ41.AG,0.028247,0.014868,25493,0.028854,0.01415,2.039,39995,0.004112,0.024796,0.166,20520
SZ42.AG,0.037498,0.011594,98769,0.042104,0.009962,4.226,155475,0.008683,0.011599,0.749,79955
SZ6.AG,-0.013636,0.035572,6653,0.015522,0.032326,0.48,10302,0.037768,0.045951,0.822,5393
SZ7.AG,0.040558,0.010323,88144,0.041426,0.010462,3.96,138982,0.031616,0.015068,2.098,71472
SZ8.AG,0.032215,0.017007,24824,0.031599,0.016425,1.924,38685,0.0051,0.024192,0.211,19719
SZ9.AG,0.055149,0.011026,97145,0.059439,0.010154,5.854,153204,0.041414,0.01017,4.072,78932
SZ11.SG,0.040174,0.008817,137846,0.036268,0.008107,4.473,216605,0.016653,0.012373,1.346,104193
SZ15.SG,0.035852,0.00983,137848,0.037096,0.008908,4.164,216612,0.016693,0.012727,1.312,104195
SZ1.SG,0.034401,0.008696,137857,0.034263,0.008629,3.971,216620,0.010391,0.011383,0.913,104194
SZ2.SG,0.031276,0.008351,137701,0.030868,0.007593,4.066,216325,-0.0098,0.012638,-0.775,104066
SZ36.SG,0.044628,0.007955,137566,0.0403,0.007316,5.509,216079,0.028525,0.009458,3.016,104024
SZ3.SG,0.024287,0.008863,137859,0.021914,0.008711,2.516,216622,-0.005109,0.011398,-0.448,104193
SZ43.SG,0.036854,0.008148,137857,0.032334,0.007695,4.202,216622,0.023209,0.010823,2.144,104199
SZ45.SG,0.041129,0.009082,137860,0.041587,0.008638,4.815,216638,0.012911,0.012553,1.028,104199
SZ4.SG,0.032492,0.009601,137856,0.033487,0.008661,3.867,216618,0.013011,0.013519,0.962,104196
I1902.AG,0.018645,0.022434,20205,0.01469,0.018613,0.789,31875,0.002796,0.028376,0.099,16197
I0577.AG,0.037263,0.009248,91928,0.051004,0.009464,5.389,145313,0.030797,0.013289,2.317,75374
I1594.AG,-0.008814,0.018892,12655,-0.000531,0.021649,-0.025,19832,-0.029812,0.034619,-0.861,10455
I1717.AG,0.034039,0.009894,85755,0.037039,0.009608,3.855,135570,-0.015401,0.015223,-1.012,70544
I1763.AG,0.042157,0.008256,96240,0.042404,0.0086,4.931,151738,0.012621,0.010175,1.24,78044
I1767.AG,0.036885,0.009667,83773,0.038578,0.009194,4.196,132455,0.025245,0.012272,2.057,68674
I1770.AG,0.031334,0.011018,56009,0.029679,0.011599,2.559,88696,0.001289,0.015563,0.083,46130
I1774.AG,0.030896,0.026345,11187,0.034795,0.020434,1.703,17873,0.032552,0.034214,0.951,9300
I1775.AG,0.029046,0.014561,47470,0.025714,0.01367,1.881,74985,0.012475,0.019213,0.649,38944
I1784.AG,0.027943,0.011261,75399,0.034262,0.011524,2.973,119680,-0.011694,0.012886,-0.907,62912
Ukraine_HG1.AG,0.044391,0.010762,94535,0.04248,0.011476,3.701,148879,0.019919,0.013024,1.529,76751
I1821.AG,0.030453,0.013511,48679,0.027919,0.013567,2.058,77004,0.003997,0.017199,0.232,40131
I1828.AG,0.037588,0.018595,15163,0.074281,0.019635,3.783,23660,-0.006964,0.027005,-0.258,12623
I1829.AG,0.014836,0.015015,34342,0.020879,0.013533,1.543,54260,0.017696,0.020884,0.847,28107
I1836.AG,0.029492,0.014427,33096,0.024309,0.013425,1.811,52615,-0.014603,0.021269,-0.687,27092
I1838.AG,0.037999,0.010146,97098,0.043072,0.009539,4.515,153384,0.014231,0.011732,1.213,79384
I1840.AG,0.034189,0.011551,77738,0.041887,0.01033,4.055,122410,0.018115,0.014128,1.282,62593
I1843.AG,0.045677,0.009602,75081,0.040644,0.009877,4.115,118774,0.025422,0.012117,2.098,61775
I1851.AG,0.062691,0.014719,46073,0.0642,0.012666,5.069,73498,0.022588,0.018101,1.248,39230
I1852.AG,0.023128,0.014298,38057,0.032156,0.014494,2.219,60231,0.013395,0.017645,0.759,31926
I1853.AG,0.045867,0.025673,14101,0.038548,0.023739,1.624,22099,0.005753,0.039062,0.147,11818
I1856.AG,0.048345,0.011877,81682,0.046169,0.011594,3.982,129550,0.021247,0.014308,1.485,68750
I1887.AG,0.05213,0.015302,45252,0.054247,0.01315,4.125,70792,0.013645,0.019083,0.715,35306
I1889.AG,0.043067,0.014245,46576,0.047889,0.014434,3.318,72734,0.013937,0.021852,0.638,36742
I1890.AG,0.012716,0.025674,11851,0.014066,0.024205,0.581,18733,0.050861,0.029327,1.734,9448
I1891.AG,0.044766,0.013004,49171,0.046263,0.01136,4.073,77292,0.012771,0.019546,0.653,39740
I1892.AG,0.030984,0.010352,69978,0.036006,0.010419,3.456,110015,0.041295,0.014876,2.776,56215
I1896.AG,0.058206,0.018146,29087,0.06429,0.01726,3.725,45830,0.038873,0.026481,1.468,23502
I1899.AG,0.054419,0.012892,37975,0.057372,0.01166,4.92,59555,0.035872,0.017178,2.088,30986
I1900.AG,-0.047321,0.035667,7293,-0.022353,0.030042,-0.744,11430,-0.054355,0.037943,-1.433,5873
I1901.AG,0.055099,0.011225,58105,0.05269,0.01095,4.812,90802,0.022905,0.017904,1.279,46278
I1903.AG,0.027029,0.011761,68524,0.032673,0.010516,3.107,107725,0.01497,0.015982,0.937,55255
I1906.AG,0.021482,0.014578,53175,0.024021,0.012231,1.964,83385,0.026591,0.017861,1.489,42200
