genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
I5371.AG,0.016441,0.008396,149810,0.005579,0.006537,0.853,327122,-0.009115,0.00893,-1.021,177202
I5373.AG,0.024539,0.009519,105670,0.017035,0.007695,2.214,230313,-0.005108,0.00961,-0.532,124117
I3049.AG,0.014302,0.021298,17847,-0.001776,0.016809,-0.106,39427,-0.016912,0.02447,-0.691,21644
I3050.AG,-0.007469,0.011517,65563,-6.4e-05,0.009757,-0.007,143047,-0.027238,0.012752,-2.136,76999
I3071.AG,0.01393,0.006189,304009,0.007293,0.005477,1.331,668571,-0.007461,0.005046,-1.479,363314
I5382.AG,0.013727,0.00863,143037,0.009969,0.006536,1.525,314143,0.000128,0.00918,0.014,169245
I5385.AG,0.016442,0.006366,242586,0.008056,0.005397,1.493,532676,-0.001048,0.007489,-0.14,288729
I3067.AG,0.018742,0.007277,148816,0.011931,0.005789,2.061,327189,-0.011146,0.00873,-1.277,176752
I5396.AG,0.014813,0.006637,295765,0.00582,0.005018,1.16,639389,-0.00192,0.006653,-0.289,339898
I5397.AG,0.019156,0.005262,374572,0.014119,0.004717,2.993,813405,-0.002865,0.004826,-0.594,432347
I5398.AG,0.028309,0.005729,378929,0.017666,0.004726,3.738,823528,0.002878,0.00586,0.491,439271
I5399.AG,0.00492,0.007478,142406,0.005599,0.006388,0.877,305730,-0.012828,0.008866,-1.447,162201
