genetic_id,group_id,locality,country,lat,lon,continent,is_modern,date_bp,date_sd,full_date,coverage,snps_hit,mol_sex,assessment,angsd_contam,hapconx_contam,damage,y_hap,mt_hap,flags,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP,high_conf,over
AV1.AG,Hungary_Avar-5,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1360.0,25.0,549-640 calCE (1487±26 BP),3.01575994,825101.0,F,Pass,n/a (female),n/a (female),0.0874,n/a (female),X2m'n,,0.01424,0.005525,360396,0.010802,0.005111,2.113,787799,-0.009115,0.005795,-1.573,425245,True,False
AV2.AG,Hungary_Avar-5,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1348.0,24.0,560-645 calCE (1472±27 BP),2.91781523,793248.0,F,Pass,n/a (female),n/a (female),0.0706,n/a (female),X2m'n,,0.007253,0.005928,345850,0.007337,0.005228,1.403,757340,-0.005843,0.006401,-0.913,411559,True,False
CL102.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,0.51579601,423599.0,F,Pass,n/a (female),n/a (female),0.1025,n/a (female),H1i2,,0.021426,0.006855,188944,0.018481,0.00606,3.05,405012,-0.001213,0.007933,-0.153,212326,False,False
CL121.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,3.17073557,868719.0,M,Pass,"[0.003,0.012]","[0.004,0.008]",0.1126,R-BY125315,T2b,,0.007938,0.006505,380622,0.007938,0.005266,1.507,829641,-0.001887,0.006377,-0.296,443913,True,False
CL145.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.87212757,838147.0,M,Pass,"[0.003,0.013]","[0.003,0.007]",0.1022,R-S17624,T2b,,0.021324,0.005887,367364,0.016192,0.0045,3.598,800228,0.000287,0.005025,0.057,428003,True,False
CL146.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,3.07700156,849289.0,M,Pass,"[0,0.006]","[0.002,0.005]",0.1042,R-S17624,T2b3,,0.019733,0.006102,372164,0.010399,0.005223,1.991,810991,-0.008706,0.007242,-1.202,433924,True,False
CL151.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,1.79240318,744519.0,F,Pass,n/a (female),n/a (female),0.1332,n/a (female),T2b,,0.02037,0.006377,326394,0.016624,0.005095,3.263,710914,0.00054,0.006009,0.09,379798,True,False
CL23.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,3.25137858,865420.0,M,Pass,"[0,0.008]","[0.004,0.008]",0.1005,T-Y144958,H,,0.022458,0.005108,379293,0.014459,0.004002,3.613,826500,-0.001662,0.005699,-0.292,442689,True,False
CL25.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,1.2925192,707033.0,F,Pass,n/a (female),n/a (female),0.0854,n/a (female),H,,0.012803,0.00631,310760,0.007979,0.005309,1.503,675369,-0.003155,0.006938,-0.455,358871,True,False
CL30.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.75732789,842607.0,M,Pass,"[0.002,0.01]","[0.003,0.007]",0.0941,R-L151,I1b,,0.017708,0.005866,369062,0.013513,0.005032,2.685,804529,-0.010455,0.005517,-1.895,430645,True,False
CL36.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,1.912672,696293.0,F,Pass,n/a (female),n/a (female),0.1121,n/a (female),X2b,,0.018226,0.006201,303332,0.015113,0.005203,2.904,664171,0.000623,0.006223,0.1,359292,True,False
CL38.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-3,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.44581315,770189.0,M,Pass,"[0,0.008]","[0.003,0.006]",0.0872,E-BY3880,X2,,0.017865,0.005289,336117,0.013027,0.004841,2.691,735203,-0.002119,0.006205,-0.341,396078,True,False
CL47.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.28093173,794036.0,F,Pass,n/a (female),n/a (female),0.1001,n/a (female),H11a,,0.012599,0.005352,347528,0.009381,0.005018,1.869,758131,-0.005433,0.006604,-0.823,406921,True,False
CL49.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,0.43745953,315573.0,M,Questionable,"[0,0.079]","[0.018,0.041]",0.2682,R-M269,n/a (<2x),questionable,0.010165,0.009519,139078,0.008659,0.005551,1.56,300765,0.006055,0.010155,0.596,162052,False,False
CL53.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,0.39163109,336670.0,M,Pass,"[0,0.032]","[0,0.007]",0.1019,R-M269,H11a,,0.024608,0.007448,149704,0.010776,0.006032,1.786,321428,0.007125,0.008038,0.886,169996,False,False
CL57.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,1.71774814,792075.0,M,Pass,"[0,0.01]","[0.006,0.011]",0.082,R-BY48364,H24a,,0.021366,0.005739,348314,0.014409,0.004635,3.109,756678,0.003033,0.007909,0.383,402966,True,False
CL63.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.75764162,856827.0,M,Pass,"[0.003,0.013]","[0.003,0.007]",0.1285,I-L121,H,,0.018979,0.005641,376123,0.012584,0.004579,2.748,818261,-0.005164,0.005809,-0.889,436793,True,False
CL83.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,1.20034868,716339.0,F,Pass,n/a (female),n/a (female),0.0781,n/a (female),H1,,0.020509,0.006958,316255,0.019284,0.005614,3.435,684899,0.001857,0.00669,0.278,363657,True,False
CL84.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.52022572,823647.0,M,Pass,"[0,0.007]","[0.001,0.004]",0.0545,R-U198,H1t,,0.014787,0.005515,360526,0.011626,0.004387,2.65,786768,-0.004656,0.006871,-0.678,421788,True,False
CL87.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,3.22608568,879568.0,F,Pass,n/a (female),n/a (female),0.1317,n/a (female),H1,,0.018485,0.005262,386315,0.019492,0.004782,4.076,840161,-0.003373,0.005718,-0.59,448635,True,False
CL92.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,1.88537587,763872.0,M,Pass,"[0.001,0.012]","[0.002,0.007]",0.103,R-S17624,H,,0.020118,0.006164,333948,0.015958,0.004702,3.394,729621,-0.002529,0.006378,-0.396,393123,True,False
CL93.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.32712171,795244.0,M,Pass,"[0.001,0.011]","[0.003,0.006]",0.1148,R-S17624,J2b1a,,0.020462,0.005909,348260,0.01621,0.004375,3.705,759411,0.001403,0.005753,0.244,407662,True,False
CL94.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-2,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,2.97721614,878236.0,M,Pass,"[0.001,0.01]","[0.004,0.007]",0.1082,R-DF99,K1c1,,0.01842,0.0061,385594,0.011816,0.005476,2.158,838724,-0.004746,0.005475,-0.867,446225,True,False
CL97.AG,Italy_Piedmont_North_EarlyMedieval_Lombards-1,"Collegno (Piedmont, Turin)",Italy,45.0792,7.5783,Eurasia,False,1350.0,29.0,550-650 CE,0.1501696,94344.0,M,Pass,..,n/a (<2000 X SNPs),0.0804,R,n/a (<2x),low_power,0.016309,0.012574,41894,0.026057,0.011034,2.362,90099,0.027181,0.015474,1.757,47651,False,False
SZ12.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,1.13324162,535929.0,M,Pass,"[0,0.014]","[0.002,0.008]",0.1223,I-CTS616,W6,,0.015221,0.007211,232077,0.009885,0.006033,1.639,510722,-0.003634,0.007065,-0.514,278898,True,False
SZ13.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1462.0,37.0,424-550 calCE (1579±25 BP),2.92284287,832283.0,M,Pass,"[0.001,0.01]","[0.003,0.006]",0.1128,I-Y4928,N1b1b1,,0.014458,0.005502,363745,0.010448,0.004513,2.315,794535,-0.002897,0.006674,-0.434,428970,True,False
SZ14.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.57710107,371528.0,M,Pass,"[0,0.024]","[0.001,0.011]",0.1186,I-CTS616,I3,,0.01188,0.007163,159819,0.012073,0.006421,1.88,353771,-0.001436,0.008169,-0.176,194768,False,False
SZ16.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,1.30334623,663351.0,M,Pass,"[0,0.003]","[0.001,0.006]",0.1068,R-L151,U4b1b,,0.011859,0.005972,289870,0.009219,0.004587,2.01,632910,-0.007789,0.005835,-1.335,340478,True,False
SZ18.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,1.88725308,734160.0,M,Pass,"[0,0.008]","[0.002,0.006]",0.1475,E-Y20282,H13a1a2,,0.017337,0.006584,320660,0.012214,0.005424,2.252,700518,-0.006647,0.00704,-0.944,377844,True,False
SZ19.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1456.0,39.0,430-562 calCE (1567±24 BP),2.64512241,776928.0,F,Pass,n/a (female),n/a (female),0.0796,n/a (female),HV9c,,0.018351,0.004774,338683,0.013316,0.004363,3.052,741421,-0.005963,0.005306,-1.124,402299,True,False
SZ22.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.04406769,707936.0,M,Pass,"[0.005,0.02]","[0.005,0.01]",0.1458,I-CTS616,N1b1b1,,0.019648,0.006468,308028,0.009327,0.00566,1.648,675339,-0.006689,0.006261,-1.068,366996,True,False
SZ23.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.18604011,729220.0,M,Pass,"[0.002,0.013]","[0.007,0.012]",0.0995,R-S10271,H13a1a2,,0.025266,0.006695,317243,0.0136,0.005699,2.386,695844,-0.005006,0.007061,-0.709,376286,True,False
SZ24.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.84289078,458529.0,M,Questionable,"[0,0.027]","[0.015,0.028]",0.1255,I-Y3249,U4b,questionable,0.013346,0.007017,197908,0.007846,0.005691,1.378,436902,0.003258,0.007769,0.419,238500,False,False
SZ25.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.46103687,367837.0,F,Pass,n/a (female),n/a (female),0.1422,n/a (female),n/a (<2x),,0.02426,0.00834,161840,0.01683,0.006275,2.682,351235,-0.008815,0.007989,-1.103,187448,False,False
SZ27.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1467.0,37.0,419-543 calCE (1595±27 BP),3.22477945,890299.0,M,Pass,"[0.001,0.015]","[0.004,0.007]",0.1158,R-BY1717,N1a1a1a1,,0.019508,0.005465,389500,0.020152,0.005099,3.952,850423,-0.000488,0.006221,-0.078,455210,True,False
SZ28.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.7374007,780105.0,F,Pass,n/a (female),n/a (female),0.0982,n/a (female),H3b5,,0.030546,0.00629,340025,0.021505,0.005631,3.819,744651,-0.002308,0.007121,-0.324,404055,True,False
SZ30.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.79776455,471468.0,F,Pass,n/a (female),n/a (female),0.1886,n/a (female),H13a,,0.020847,0.006869,206050,0.015822,0.005803,2.727,449323,-0.002318,0.008695,-0.267,242614,True,False
SZ31.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.12983134,127162.0,F,Pass,n/a (female),n/a (female),0.1628,n/a (female),n/a (<2x),low_power,0.016929,0.011939,55919,0.004762,0.010287,0.463,121141,0.000478,0.013514,0.035,64894,False,False
SZ32.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.88186738,797618.0,F,Pass,n/a (female),n/a (female),0.0782,n/a (female),H74,,0.02343,0.00553,347813,0.01991,0.004585,4.343,761296,0.000843,0.005877,0.143,413175,True,False
SZ37.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1430.0,46.0,433-593 calCE (1544±26 BP),0.86945341,501182.0,M,Pass,"[0,0.012]","[0.005,0.015]",0.097,R-L2,H66a,,0.015935,0.00663,217517,0.014606,0.005455,2.678,477571,-0.002615,0.008366,-0.313,259853,True,False
SZ38.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.41617832,747516.0,F,Pass,n/a (female),n/a (female),0.0757,n/a (female),HV0,,0.023275,0.005472,326005,0.01563,0.004901,3.189,713386,-2.7e-05,0.00573,-0.005,385977,True,False
SZ40.AG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.2863435,747468.0,F,Pass,n/a (female),n/a (female),0.1158,n/a (female),T2,,0.019006,0.006672,325889,0.010997,0.005464,2.013,713229,-0.009431,0.007348,-1.283,384876,True,False
SZ41.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.30160372,215693.0,F,Pass,n/a (female),n/a (female),0.2058,n/a (female),n/a (<2x),,0.028238,0.00783,94770,0.021834,0.00841,2.596,205743,0.002699,0.011292,0.239,109579,False,False
SZ42.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,3.27751363,847341.0,M,Pass,"[0.002,0.01]","[0.003,0.007]",0.0794,R-L2,K2a6,,0.018143,0.006057,370221,0.01995,0.005003,3.988,809153,-0.002108,0.005352,-0.394,434730,True,False
SZ6.AG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.05396132,56632.0,M,Pass,..,n/a (<2000 X SNPs),0.1521,I-M436,n/a (<2x),low_power,0.011454,0.014527,25180,0.009538,0.013305,0.717,53960,-0.004808,0.019162,-0.251,28963,False,False
SZ7.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,2.17841565,759609.0,M,Pass,"[0,0.01]","[0.002,0.006]",0.0864,I-Y3249,T2e,,0.022042,0.006586,331446,0.016801,0.005493,3.059,725164,0.002344,0.006834,0.343,389495,True,False
SZ8.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,0.22160643,210528.0,F,Pass,n/a (female),n/a (female),0.1025,n/a (female),n/a (<2x),,0.006602,0.010492,93655,-0.002495,0.008291,-0.301,201047,-0.016874,0.01092,-1.545,106643,False,False
SZ9.AG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,3.14317349,832068.0,F,Pass,n/a (female),n/a (female),0.0892,n/a (female),J1b1a1d,,0.023194,0.006225,363487,0.020063,0.005993,3.348,794419,0.004541,0.005453,0.833,428272,True,False
SZ11.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,10.9596285,1149833.0,M,Pass,"[0,0.007]","[0.005,0.007]",0.115,R-Z326,K2a3a,,0.017986,0.005725,505740,0.01247,0.005037,2.476,1098222,-0.000131,0.005629,-0.023,560912,True,False
SZ15.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,13.049635,1149883.0,M,Pass,"[0,0.004]","[0.004,0.006]",0.1017,R-YP986,H1c1,,0.027326,0.005356,505753,0.02035,0.005258,3.87,1098252,0.00449,0.005936,0.756,560956,True,False
SZ1.SG,Hungary_BA,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,3850.0,635.0,3000-800 BCE,12.9467861,1149848.0,M,Pass,"[0,0.006]","[0.006,0.008]",0.1111,R-Y20746,J1b,,0.017313,0.006262,505768,0.009262,0.00533,1.738,1098246,-0.003245,0.005732,-0.566,560920,True,False
SZ2.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,7.58433358,1148219.0,M,Pass,..,"[0.009,0.011]",0.1002,R-Z8,T1a1,,0.012644,0.005013,505193,0.008844,0.00414,2.136,1096722,-0.006034,0.00539,-1.119,560238,True,False
SZ36.SG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,6.88936322,1147176.0,M,Pass,..,"[0.008,0.011]",0.0867,T-A21015,U4c2a,,0.028192,0.004957,504784,0.019303,0.003735,5.168,1095760,0.000339,0.005079,0.067,560041,True,False
SZ3.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,13.0279019,1149980.0,M,Pass,"[0,0]","[0.007,0.008]",0.0872,I-Y226798,H18,,0.012817,0.005067,505772,0.00659,0.004413,1.493,1098319,-0.009068,0.005566,-1.629,560928,True,False
SZ43.SG,Hungary_Lombards-1,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1393.0,35.0,438-605 calCE (1521±25 BP),14.2404638,1149969.0,M,Pass,"[0,0.008]","[0.006,0.007]",0.1027,I-Y3672,H1e,,0.023655,0.004638,505775,0.012989,0.00364,3.569,1098327,-0.001703,0.005165,-0.33,560959,True,False
SZ45.SG,Hungary_Lombards-2,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,12.87873,1150009.0,M,Pass,"[0,0.003]","[0.006,0.008]",0.1095,I-FGC21810,J1c,,0.019706,0.004729,505792,0.011671,0.004101,2.846,1098352,-0.003592,0.004108,-0.874,560955,True,False
SZ4.SG,Hungary_Lombards,"Szólád (Somogy County, Kaposvár)",Hungary,46.2833333,17.85,Eurasia,False,1425.0,72.0,400-650 CE,12.5923952,1149913.0,M,Pass,"[0,0.015]","[0.007,0.008]",0.0828,R-Z19,H1c9,,0.018167,0.005843,505765,0.011716,0.005129,2.284,1098272,-0.002386,0.007024,-0.34,560926,True,False
JK2911.AG,Egypt_AbusirelMeleq_ThirdIntermediatePeriod,"Abusir-el Meleq (Middle Egypt, Beni Suef Governorate)",Egypt,29.9,31.2,Africa,False,2602.0,70.0,"779-544 calBCE (2513±24 BP, MAMS-23617)",0.96495686,520709.0,M,Pass,"[0,0.054]","[0.002,0.008]",,J-M102,M1a1,,0.016102,0.006161,228331,0.017035,0.00549,3.103,496570,0.006092,0.008359,0.729,250868,True,False
I1902.AG,Hungary_LN_Lengyel,"Felsörs-Bárókert (Veszprém County, Balatonalmádi)",Hungary,47.01938,17.96243,Eurasia,False,6550.0,173.0,4900-4300 BCE,0.17387382,173832.0,M,Pass,..,"[0,0.007]",,J-Z6055,H44,low_power,0.022827,0.010917,76124,0.010721,0.008425,1.273,166028,-0.002812,0.013199,-0.213,88261,False,False
I0577.AG,Russia_Tuva_IA_AldyBel,"Arzhan (Tuva Republic, Piy-Khemsky District, Arzaan Village)",Russia,52.096067,93.711133,Eurasia,False,2750.0,58.0,900 -700 BCE,2.75385156,797036.0,M,Pass,"[0.001,0.005]","[0.001,0.002]",0.026,R-YP1456,A8a,,0.013983,0.006003,346803,0.013412,0.005127,2.616,760821,-0.001421,0.0079,-0.18,411997,True,False
